PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-14,17:05:18.45,1,1,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Lewis, Rosnell",10161188,Right,DEL_HOR,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.29383,-3.239843,3.061648,1875.281764,120.908161,10:00,5.71906,-1.56802,5.41399,-30.341,11.41737,-15.99906,0.14785,-0.03027,74.67278,-8.888222,0.21476,0.465097,,,,,,,,,,,,9.32662,7.50662,1.30746,50,5.40986,-5.82278,-121.55467,-7.90025,13.40483,32.5533,-21.38505,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,a4925b70-3845-11f1-88e1-add754141550,81.04218,,,9.62105,,,,,,,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:05:18.45,2026-04-14T17:05:18.4517632-04:00,2026-04-14T21:05:18.4517632Z,,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,06432114-e038-4e9c-90d9-902e3d55e54c,55.08226,-122.9082,16.27665,5.71986,-7.01108,-10.69252,1.56115,-6.38014,6.70241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026-04-14,17:05:31.06,1,2,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Lewis, Rosnell",10161188,Right,DEL_HOR,Undefined,1,Top,0,1,0,FourSeamFastBall,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.40308,-1.014531,2.614394,1921.94061,118.775609,10:00,5.74029,-1.46238,5.32147,-33.67057,10.72382,-15.61524,1.98123,-0.30846,71.71782,-7.333522,-0.158644,0.479552,70.65125,-37.045681,-57.699224,,,,,5.48381,5.48381,-38.808954,0.031312,8.99323,6.3752,1.23751,50,5.62514,-4.74992,-118.77994,-3.21986,12.14612,34.29167,-23.56379,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,ac1ebaf0-3845-11f1-88e1-add754141550,78.59934,1.96024,,10.68526,,,,2.88546,1.96024,-1.24171,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:05:31.06,2026-04-14T17:05:31.0680064-04:00,2026-04-14T21:05:31.0680064Z,GroundBall,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,99f34969-66c5-4b93-9f6a-34421a73f60d,55.17081,-120.26348,17.14584,5.74239,-2.20043,-11.78189,1.45437,-5.27539,6.07306,180,2.88483,44.31963,,,,,,,,1.96112,-62.6028,,,,,,,,-1.24072,-70.10462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,
3,2026-04-14,17:05:49.01,1,3,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Lewis, Rosnell",10161188,Right,DEL_HOR,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.46786,-0.96181,3.172266,1372.226919,104.630831,9:30,5.55633,-1.49176,5.52746,-39.85105,6.99241,-18.7484,1.33479,-0.08547,70.1047,-8.378212,-0.170279,0.492602,,,,,,,,,,,,10.70272,4.50433,1.22855,50,5.44682,-5.58953,-114.70651,-3.21663,13.65028,29.64848,-26.4292,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,b6d41fd0-3845-11f1-88e1-add754141550,76.5171,,,9.36316,,,,,,,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:05:49.01,2026-04-14T17:05:49.0120704-04:00,2026-04-14T21:05:49.0120704Z,,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,f4d1a5d7-aa46-4a43-9c53-bf7997e5031e,54.96641,-115.98308,14.82424,5.56082,-2.07866,-13.2146,1.48187,-6.17727,6.82514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-14,17:06:05.08,1,4,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Lewis, Rosnell",10161188,Right,DEL_HOR,Undefined,1,Top,0,2,1,FourSeamFastBall,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,84.16799,-0.938569,2.253803,1969.782043,124.021352,10:15,5.66172,-1.43259,5.60898,-27.68088,13.29729,-17.2493,2.47813,-0.76516,75.01764,-6.146167,-0.825542,0.460731,92.09042,4.543919,-26.374285,2288.860827,,,,87.09128,83.89302,-27.855367,0.696144,9.59355,7.52768,1.25146,50,5.56405,-4.07501,-121.80466,-2.87616,13.99667,30.3582,-21.19139,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,c0641780-3845-11f1-88e1-add754141550,81.81,3.84814,,9.15036,,,,2.84782,2.53987,0.85754,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:06:05.08,2026-04-14T17:06:05.0875904-04:00,2026-04-14T21:06:05.0875904Z,GroundBall,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,3b2a0324-b912-4836-b031-65b83216c64e,54.88808,-123.01691,15.1791,5.662,-2.02995,-10.5957,1.42534,-4.63392,6.99833,69.352082,2.89716,119.66506,-19.08057,,,,,,,2.5791,9.93509,-19.66825,,,,,,,0.8748,-60.1538,0.60439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
5,2026-04-14,17:06:59.76,2,1,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Harwood, Santino",10137635,Left,DEL_HOR,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.55429,-1.132236,4.02201,1821.646154,139.136255,10:45,5.81345,-1.56681,5.36996,-27.80746,17.73544,-13.66528,2.43181,1.07169,71.37132,-6.379447,1.600614,0.485715,,,,,,,,,,,,8.2556,9.82941,1.21531,50,5.69288,-7.58157,-116.17292,-3.14427,10.92252,28.22568,-19.16931,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,e10053f0-3845-11f1-88e1-add754141550,77.60193,,,9.18297,,,,,,,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:06:59.76,2026-04-14T17:06:59.7647360-04:00,2026-04-14T21:06:59.7647360Z,,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,72de1f64-8b1d-4d00-b0bf-6242167c2f3b,55.1215,-117.41066,14.11284,5.81233,-2.30367,-9.58465,1.55827,-8.06054,5.46126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026-04-14,17:07:17.10,2,2,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Harwood, Santino",10137635,Left,DEL_HOR,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.1465,0.648691,3.893134,1899.754933,315.490021,4:30,5.4598,-1.86413,5.25514,-69.62149,-7.69197,10.49032,0.26896,2.67373,61.67356,-12.048653,5.751501,0.566396,,,,,,,,,,,,-3.38229,-3.19189,1.49878,50,5.46958,-7.26691,-100.95366,-1.04598,-3.27867,25.68721,-35.26818,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,eb668760-3845-11f1-88e1-add754141550,66.54784,,,8.47294,,,,,,,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:07:17.10,2026-04-14T17:07:17.1030000-04:00,2026-04-14T21:07:17.1030000Z,,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,10695ca5-d02d-404c-bf07-afd2f2a2574a,55.23708,-102.27753,12.84361,5.47665,0.77168,-17.63409,1.86895,-7.09793,-1.63933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81061,,,,,,,-0.54997,6.18927,-0.8146,,,,-0.4923,111.65113,-8.55191,6.20713,6.8753,-12.61474,-0.81391,-1.41987,-0.05476,High,High,High,,,High,High,Medium,,,
7,2026-04-14,17:07:43.59,2,3,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Harwood, Santino",10137635,Left,DEL_HOR,Undefined,1,Top,0,1,1,FourSeamFastBall,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.18518,-1.188585,3.298542,1828.852228,130.072337,10:15,5.75008,-1.69079,5.40492,-27.44647,15.94749,-16.85182,2.34717,-0.00096,73.20858,-6.349462,0.305661,0.474118,,,,,,,,,,,,9.69619,8.92957,1.40917,50,5.6256,-6.1421,-118.76582,-3.32974,13.45675,28.7496,-19.78123,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,fb19ffc0-3845-11f1-88e1-add754141550,79.5002,,,8.97659,,,,,,,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:07:43.59,2026-04-14T17:07:43.5994624-04:00,2026-04-14T21:07:43.5994624Z,,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,c28b4762-84d8-46ba-b23b-d913d8ea5bd4,55.0917,-119.99204,14.3748,5.74963,-2.48604,-9.89062,1.68338,-6.71605,6.72838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026-04-14,17:08:07.95,2,4,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Harwood, Santino",10137635,Left,DEL_HOR,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.60409,0.419052,4.055832,1861.09916,318.723644,4:30,5.45857,-1.72039,5.45706,-60.10732,-2.07839,4.0565,0.84289,2.42062,63.62989,-10.600048,4.776394,0.548269,,,,,,,,,,,,-0.37343,-0.55488,1.35938,50,5.45503,-7.46997,-103.267,-1.07443,-0.38518,24.35535,-32.7464,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,09a68450-3846-11f1-88e1-add754141550,68.74808,,,7.97421,,,,,,,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:08:07.95,2026-04-14T17:08:07.9503360-04:00,2026-04-14T21:08:07.9503360Z,,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,d063cad5-b713-41b6-a8ca-88a5f545b868,55.03851,-104.44856,12.17767,5.46862,0.51422,-16.3732,1.72132,-7.45129,-0.19259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
9,2026-04-14,17:08:29.92,2,5,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Harwood, Santino",10137635,Left,DEL_HOR,Undefined,1,Top,0,2,2,FourSeamFastBall,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,82.64582,-2.565386,4.235594,2099.535511,135.391303,10:30,5.77734,-1.56601,5.45549,-26.05025,17.26922,-15.16639,1.1968,1.14237,73.14266,-7.48529,1.543534,0.473711,,,,,,,,,,,,9.22461,10.18292,1.20259,50,5.53336,-8.17276,-119.08926,-6.14477,12.77841,30.40613,-18.0681,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,16beb860-3846-11f1-88e1-add754141550,79.56849,,,9.50316,,,,,,,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:08:29.92,2026-04-14T17:08:29.9294208-04:00,2026-04-14T21:08:29.9294208Z,,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,1e82a434-5506-4f59-8b8f-4a19c26efee5,55.03819,-120.36875,15.20306,5.77594,-5.38446,-9.03405,1.55782,-8.71048,6.3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-14,17:08:48.30,2,6,"Shaub, Ethan",1000305276,Left,DEL_BLU,"Harwood, Santino",10137635,Left,DEL_HOR,Undefined,1,Top,0,3,2,FourSeamFastBall,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.34588,-0.056773,2.902739,1876.758957,134.355746,10:30,5.7702,-1.54272,5.60766,-28.07175,14.73379,-13.31729,3.37783,0.05942,73.34936,-5.35181,0.528552,0.470892,89.60623,12.100109,43.745418,3274.390866,76.00954,10.86376,79.51441,162.23872,162.23872,48.575826,1.50301,7.81398,7.95044,1.30327,50,5.74777,-5.49638,-119.1183,-0.98174,10.91731,28.76382,-21.0661,DEL_BLU,DEL_HOR,BobHannahStadium,D1,CUSA,20260414-BobHannahStadium-1,21ada3d0-3846-11f1-88e1-add754141550,80.04476,12.36073,,8.99652,,,,3.02198,3.52037,-0.06893,c7c7df7b-d879-4803-808d-3da45b60f843,2026-04-14,21:08:48.30,2026-04-14T17:08:48.3002368-04:00,2026-04-14T21:08:48.3002368Z,LineDrive,v3,471283,471282,23d77a3d71be4e3391dd656ef38f68ba,"Cockrill, LT",1000194945,Right,DEL_BLU,5f164264-dbf5-4c8f-83ba-10626a8cc2c4,54.88887,-120.29303,14.38191,5.7703,-0.12138,-10.53305,1.53685,-5.94225,5.45866,,3.02198,92.8329,-19.9317,3.92054,-0.90749,0.1981,-0.04279,0.00739,-0.00068,3.52037,27.54886,-23.06341,2.81961,-0.63909,0.14843,-0.03086,0.00537,-0.00052,-0.06893,88.85333,-5.70555,0.32477,0.0168,-0.02445,0.00725,-0.00149,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
