PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-11,16:53:25.80,1,1,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Fattore, Matthew",1000409838,Right,BEL_ABB,Undefined,1,Top,0,0,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.89742,-0.293941,3.265185,2303.198728,157.333264,11:15,5.57497,-2.34768,5.64897,-29.95545,11.88111,-4.31492,2.80405,0.3418,74.603,-5.889513,2.4961,0.465532,,,,,,,,,,,,3.24142,6.57398,2.07303,50,5.53135,-6.66252,-119.95189,-1.57408,4.64127,26.93368,-22.76102,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,7ca44060-35e8-11f1-9ec6-f3dac4f2b9ce,80.96641,,,8.29441,,,,,,,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:53:25.80,2026-04-11T16:53:25.8042880-04:00,2026-04-11T20:53:25.8042880Z,,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,659f1c08-2091-41b8-a6cd-4d7a9716173b,54.8491,-121.03579,13.46684,5.57627,-0.6581,-11.38051,2.34491,-6.8493,2.32063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026-04-11,16:53:41.11,1,2,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Fattore, Matthew",1000409838,Right,BEL_ABB,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,70.10623,3.717173,1.255964,1773.550569,114.13828,9:45,5.66014,-2.34002,5.55544,-48.23825,9.81914,-17.69946,5.11943,-2.64118,63.70327,-5.203454,-1.895372,0.548404,,,,,,,,,,,,9.19414,4.48244,2.24294,50,5.95077,-1.58858,-101.50714,5.21364,9.55112,17.28938,-27.51756,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,85e86200-35e8-11f1-9ec6-f3dac4f2b9ce,68.73121,,,6.40296,,,,,,,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:53:41.11,2026-04-11T16:53:41.1103232-04:00,2026-04-11T20:53:41.1103232Z,,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,4c18c0a1-496e-4b09-890f-7d1985696b03,54.94487,-102.34592,8.64469,5.66545,6.54863,-13.75878,2.33125,-2.05195,4.77556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-11,16:53:56.11,1,3,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Fattore, Matthew",1000409838,Right,BEL_ABB,Undefined,1,Top,0,1,1,Slider,Curveball,InPlay,Undefined,Popup,Out,1,0,,71.9739,0.732047,1.891647,2424.155744,253.29423,2:30,5.60736,-2.22806,5.39112,-50.05097,5.28815,11.56079,2.12301,0.50902,65.93217,-8.415101,3.946317,0.535411,77.35942,53.662766,-15.823035,,107.45462,112.10373,-23.52652,184.37072,173.76233,-11.343299,5.399038,-5.28209,2.93685,2.05039,50,5.63757,-3.8604,-104.38559,-0.18789,-5.78481,18.78974,-28.95766,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,8ec22910-35e8-11f1-9ec6-f3dac4f2b9ce,70.39902,112.16583,,6.04172,,,,1.79556,2.38574,-0.49485,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:53:56.11,2026-04-11T16:53:56.1191936-04:00,2026-04-11T20:53:56.1191936Z,Popup,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,65a7dd4b-8205-47e5-89be-054dca5df311,55.11209,-105.30176,9.39487,5.6123,1.22406,-14.47883,2.23175,-3.57834,-2.8924,186.961686,1.79947,64.59973,-17.27909,4.56754,-0.70982,0.03004,0.00982,-0.00157,7E-05,2.38613,91.37919,-21.94459,1.17244,0.27503,-0.22099,0.06391,-0.00886,0.00047,-0.49604,-18.30409,7.18502,-2.13641,0.39061,-0.03253,-0.0024,0.00071,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
4,2026-04-11,16:54:30.51,2,1,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Whitaker, Joe",1000215758,Right,BEL_ABB,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.05312,2.202407,0.239983,2498.873726,274.953602,3:15,5.63333,-2.36508,5.51412,-54.96168,0.31098,12.92666,3.1138,-1.06344,66.32895,-7.796725,2.544254,0.53509,,,,,,,,,,,,-6.46197,0.12713,2.33532,50,5.78831,-0.88529,-103.32,2.30426,-7.09936,14.5759,-32.03439,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,a3444080-35e8-11f1-9ec6-f3dac4f2b9ce,70.44134,,,4.72417,,,,,,,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:54:30.51,2026-04-11T16:54:30.5145856-04:00,2026-04-11T20:54:30.5145856Z,,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,d4f7303a-67d3-4f0d-9c03-222a2d9254e4,54.9919,-104.02185,7.28795,5.64022,3.84676,-16.0172,2.36971,-0.54344,-3.54968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026-04-11,16:54:46.52,2,2,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Whitaker, Joe",1000215758,Right,BEL_ABB,Undefined,1,Top,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.33163,0.437869,2.608512,2579.676659,266.662126,3:00,5.62997,-2.23163,5.459,-49.30971,2.14882,9.77028,1.93115,1.0261,68.5496,-8.541888,4.345952,0.516298,,,,,,,,,,,,-4.2161,1.41272,1.9945,50,5.63463,-5.27061,-107.8522,-0.72897,-4.96288,18.87045,-30.51109,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,acc989d0-35e8-11f1-9ec6-f3dac4f2b9ce,73.00525,,,5.78203,,,,,,,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:54:46.52,2026-04-11T16:54:46.5263104-04:00,2026-04-11T20:54:46.5263104Z,,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,1fc7fcd1-3ca9-4bc7-8772-61d19cc747ab,55.04513,-108.73134,9.43522,5.63548,0.69249,-15.25555,2.23466,-5.03939,-2.48144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026-04-11,16:55:02.17,2,3,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Whitaker, Joe",1000215758,Right,BEL_ABB,Undefined,1,Top,1,2,0,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.06862,-0.939082,3.522275,2618.375949,156.193214,11:15,5.49303,-2.43254,5.74894,-27.65509,10.87508,-4.31331,2.31238,0.49157,78.67311,-6.047573,2.752281,0.446758,79.91672,-7.026401,-47.924023,,,,,20.72938,20.31039,-48.971984,0.15658,3.08933,6.11181,2.14218,50,5.39778,-7.42899,-123.4749,-2.93479,4.81968,22.15835,-22.63905,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,b61106d0-35e8-11f1-9ec6-f3dac4f2b9ce,84.36887,2.24968,,6.39551,,,,1.37599,2.24968,-2.08988,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:55:02.17,2026-04-11T16:55:02.1712896-04:00,2026-04-11T20:55:02.1712896Z,GroundBall,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,52318cb2-e8e5-476d-9658-4e40d086e4b3,54.75561,-124.32539,11.07918,5.49375,-2.06585,-11.31952,2.43087,-7.61398,2.40984,,1.37193,78.11591,,,,,,,,2.25042,-14.36763,,,,,,,,-2.08539,-86.5255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,
7,2026-04-11,16:55:26.04,2,4,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Whitaker, Joe",1000215758,Right,BEL_ABB,Undefined,1,Top,1,2,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,73.34933,1.030114,1.974406,2436.461764,254.753615,2:30,5.64806,-2.04652,5.59267,-48.87475,4.72587,10.06808,2.53774,0.63687,66.23134,-7.98471,3.769884,0.526934,90.12588,-3.33123,-69.381973,4535.778196,,,,33.42023,32.56731,-66.145406,0.254801,-4.44658,2.57307,1.87013,50,5.70496,-4.02598,-106.2449,0.44458,-4.97325,21.8527,-29.2962,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,c458e140-35e8-11f1-9ec6-f3dac4f2b9ce,71.53159,2.87393,,7.11798,,,,2.20939,2.87393,-0.71294,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:55:26.04,2026-04-11T16:55:26.0411904-04:00,2026-04-11T20:55:26.0411904Z,GroundBall,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,3979ee50-b3a6-4887-9316-75f33fffc33e,54.90867,-107.24978,10.92635,5.65354,1.79174,-14.6481,2.05001,-3.79729,-2.48663,,2.21087,46.39078,-7.96351,,,,,,,2.87515,-7.74486,-13.90754,,,,,,,-0.71776,-123.25646,24.07418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,
8,2026-04-11,16:55:50.55,2,5,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Whitaker, Joe",1000215758,Right,BEL_ABB,Undefined,1,Top,1,2,2,Fastball,Slider,InPlay,Undefined,LineDrive,Single,0,0,,84.84701,-0.251357,2.548457,2638.814523,167.750608,11:30,5.5781,-2.37557,5.75913,-27.65667,11.60099,-2.23543,3.03917,-0.188,77.20829,-5.410149,2.148849,0.450955,99.25378,11.727598,-19.819795,1032.018654,101.02629,14.70567,-43.51562,206.41219,206.41219,-26.319578,1.817426,1.89327,6.3691,2.16547,50,5.54053,-5.38582,-123.05833,-1.43014,2.8858,25.78973,-22.46609,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,d2ef9f00-35e8-11f1-9ec6-f3dac4f2b9ce,83.58353,14.73221,,7.63871,,,,0.7958,3.02356,0.17757,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:55:50.55,2026-04-11T16:55:50.5546752-04:00,2026-04-11T20:55:50.5546752Z,LineDrive,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,95b19ba8-f692-47c7-8236-7b0095ee1c06,54.74251,-124.04826,12.89487,5.57888,-0.5678,-11.23304,2.37432,-5.49659,1.4429,95.536789,0.7958,134.09002,-24.78262,5.22298,-1.07486,0.18083,-0.0292,0.0038,-0.00026,3.02356,29.5888,-20.21033,2.12522,-0.34442,0.06043,-0.00858,0.00128,-0.00014,0.17757,-48.32776,-4.8272,3.44566,-1.21347,0.33887,-0.07774,0.01288,-0.00106,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
9,2026-04-11,16:56:24.94,3,1,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Burr, Caleb",1000215754,Right,BEL_ABB,Undefined,1,Top,1,0,0,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,72.13767,0.244463,1.672535,2441.353409,257.304503,2:30,5.55942,-2.20709,5.49368,-50.85424,3.71866,8.90371,1.55036,0.1,66.49066,-9.033538,3.259716,0.531692,107.80528,11.28085,-14.237973,1017.867355,104.72432,14.10025,-33.65735,215.2395,215.2395,-21.162703,1.770911,-4.04327,2.28988,2.05429,50,5.54626,-3.3718,-104.7194,-1.09338,-4.48037,18.03032,-29.63662,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,e7716850-35e8-11f1-9ec6-f3dac4f2b9ce,70.89151,14.12778,,5.64701,,,,1.42977,1.59145,-0.10697,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:56:24.94,2026-04-11T16:56:24.9440768-04:00,2026-04-11T20:56:24.9440768Z,LineDrive,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,b20aa643-ce34-40fb-a175-ce5430e93356,55.01012,-105.5785,9.01516,5.56472,0.31874,-14.81831,2.20987,-3.15832,-2.24018,97.193996,1.42977,150.29822,-30.27598,7.05864,-1.48726,0.24025,-0.01798,-0.00404,0.00097,1.59146,30.92857,-20.20012,1.47528,-0.14637,0.02833,-0.0175,0.00687,-0.00098,-0.10698,-38.13359,-7.9167,4.44945,-1.50804,0.36866,-0.05279,6E-05,0.00088,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
10,2026-04-11,16:57:09.51,4,1,"Arvantides, Lukas",1000158728,Left,SOU_WES1,"Steinberg, Jacob",1000119116,Right,BEL_ABB,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,82.82586,-0.943591,4.842818,2585.318417,155.161001,11:15,5.37483,-2.40011,5.77875,-31.7023,9.70272,-3.84669,1.85171,1.79648,75.47656,-6.813902,4.157758,0.463125,,,,,,,,,,,,3.41567,5.62898,2.00158,50,5.27753,-10.00028,-119.81479,-2.99079,4.93161,24.61274,-24.04686,SOU_WES1,BEL_ABB,SouthernWesleyan,D2,CC,20260411-SouthernWesleyan-2,01fe6f60-35e9-11f1-9ec6-f3dac4f2b9ce,81.38721,,,7.34929,,,,,,,f076837c-5994-463b-b75b-9aebf59e2877,2026-04-11,20:57:09.51,2026-04-11T16:57:09.5166464-04:00,2026-04-11T20:57:09.5166464Z,,v3,643-145851,643-144473,6624,"Garrett, Harrison",1000113359,Right,SOU_WES1,e8e7dfb3-5f03-41de-9815-b65a5214827c,54.72367,-120.78124,12.30637,5.37642,-2.04656,-12.02343,2.39806,-10.19392,2.4658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
