PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-11,14:06:37.29,1,1,"Graham, Tanner",10102526,Right,EVA_ACE,"Kufa, Henry",10005204,Right,SIU_SAL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.5538,-1.397527,-1.580946,2152.178934,198.534594,12:30,5.80601,0.9728,6.43959,-17.2084,18.80851,5.88744,3.08701,0.01029,79.31768,-4.72519,-0.513697,0.431941,,,,,,,,,,,,-3.53921,10.60197,-0.86289,50,5.69867,3.27472,-127.10031,-3.52221,-5.73193,28.46885,-15.00372,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,90d157d0-35d9-11f1-a620-33005328f318,87.26285,,,8.23612,,,,,,,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:06:37.29,2026-04-11T14:06:37.2939264-05:00,2026-04-11T19:06:37.2939264Z,,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Magill, Spike",10250132,Right,EVA_ACE,41a5bbb4-c021-4370-a9f8-2ede918464e9,54.05613,-128.0056,14.23443,5.80309,-3.0451,-7.50186,-0.96992,3.45699,-2.86596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026-04-11,14:06:54.89,1,2,"Graham, Tanner",10102526,Right,EVA_ACE,"Kufa, Henry",10005204,Right,SIU_SAL,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.84862,-2.194772,-2.179394,1990.283309,220.402856,1:15,5.71245,1.14274,6.13288,-19.26879,16.31312,12.78804,2.07568,0.19308,80.23478,-5.872576,0.125557,0.429325,,,,,,,,,,,,-7.26528,9.48938,-0.98259,50,5.53473,4.36692,-128.78532,-5.48574,-12.03018,30.25657,-16.4611,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,9b5106b0-35d9-11f1-a620-33005328f318,87.79466,,,8.61384,,,,,,,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:06:54.89,2026-04-11T14:06:54.8969984-05:00,2026-04-11T19:06:54.8969984Z,,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Magill, Spike",10250132,Right,EVA_ACE,f87505ab-6e51-40d4-bb3b-3d4ebcc6394b,54.36324,-129.80636,15.12828,5.71048,-4.93024,-8.23055,-1.13681,4.77289,-6.01509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-11,14:07:11.91,1,3,"Graham, Tanner",10102526,Right,EVA_ACE,"Kufa, Henry",10005204,Right,SIU_SAL,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.505,-0.274794,-1.856276,2423.55027,36.173568,7:15,5.661,1.01878,6.02716,-69.73342,-12.31434,-10.59969,-0.40475,-1.58426,64.16029,-13.026687,-3.772849,0.54538,,,,,,,,,,,,4.81981,-5.7554,-0.86776,50,5.60185,3.65753,-102.2638,-2.45428,4.94368,21.79749,-38.07735,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,a584df80-35d9-11f1-a620-33005328f318,69.11219,,,6.34471,,,,,,,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:07:11.91,2026-04-11T14:07:11.9182336-05:00,2026-04-11T19:07:11.9182336Z,,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Magill, Spike",10250132,Right,EVA_ACE,7e2ab171-8479-482c-a3fd-f3b3b79acbef,54.47412,-103.21305,10.89875,5.67262,-0.79606,-19.03868,-1.02236,3.44224,2.47184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-11,14:07:33.52,1,4,"Graham, Tanner",10102526,Right,EVA_ACE,"Kufa, Henry",10005204,Right,SIU_SAL,Undefined,1,Top,0,1,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.50158,1.112484,-2.195129,2606.761583,40.365968,7:15,5.67643,1.22596,5.69213,-61.37633,-11.37386,-11.10524,1.59943,-1.74626,69.02615,-10.073035,-4.183027,0.508941,,,,,,,,,,,,4.92024,-5.57815,-1.0345,50,5.73208,4.61146,-109.53396,0.14207,5.89074,21.96966,-38.85248,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,e452ee38-dad1-4ffb-bb54-61cb9412561a,74.06058,,,6.47543,,,,,,,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:07:33.52,2026-04-11T14:07:33.5290000-05:00,2026-04-11T19:07:33.5290000Z,,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Magill, Spike",10250132,R,EVA_ACE,9edd636b-85b9-4601-b748-3ed6a4c4989f,54.80898,-110.4943,10.98483,5.68875,1.8404,-19.42624,-1.23045,4.35396,2.94537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026-04-11,14:07:51.74,1,5,"Graham, Tanner",10102526,Right,EVA_ACE,"Kufa, Henry",10005204,Right,SIU_SAL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.68358,-1.398094,-2.758611,2173.160334,191.741262,12:30,5.75252,1.08824,6.60571,-19.8058,15.75926,3.0311,2.81961,-1.18807,79.86968,-5.189301,-2.208145,0.429223,,,,,,,,,,,,-2.39217,9.04245,-0.90136,50,5.6487,6.01674,-127.28474,-3.62129,-3.90451,27.36765,-17.41484,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,bd283420-35d9-11f1-a620-33005328f318,87.81545,,,7.8139,,,,,,,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:07:51.74,2026-04-11T14:07:51.7420000-05:00,2026-04-11T19:07:51.7420000Z,,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Magill, Spike",10250132,Right,EVA_ACE,5e0dc706-4451-42bd-9da6-b58466fab085,53.89082,-128.11858,13.68383,5.75095,-3.0907,-8.70742,-1.08649,6.1357,-1.95226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026-04-11,14:08:09.22,1,6,"Graham, Tanner",10102526,Right,EVA_ACE,"Kufa, Henry",10005204,Right,SIU_SAL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.66551,-1.93519,-2.34874,2151.395199,218.787252,1:15,5.70053,1.01575,6.34248,-19.83777,15.4615,11.43615,2.26364,-0.19473,80.37776,-5.721731,-0.279786,0.427616,105.927,11.601792,-0.970691,1656.157741,109.99958,19.95391,0.24736,287.05437,279.47015,1.791858,2.68683,-6.70445,9.01871,-0.8502,50,5.55033,4.82671,-128.64553,-4.90248,-11.11403,29.38169,-17.22367,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,c78f2ae0-35d9-11f1-a620-33005328f318,88.14548,22.79431,,8.28776,,,,1.36026,2.28855,0.19587,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:08:09.22,2026-04-11T14:08:09.2230000-05:00,2026-04-11T19:08:09.2230000Z,LineDrive,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Magill, Spike",10250132,Right,EVA_ACE,c4b7ad4c-10af-48e9-8d78-b84d2ff04065,54.15569,-129.59118,14.69084,5.69919,-4.34813,-8.61183,-1.0113,5.18442,-5.55701,198.733348,1.36029,152.16132,-28.31881,6.60792,-1.35949,0.21619,-0.01107,-0.00393,0.00063,2.28844,31.25111,-11.48121,-0.48622,-0.01031,0.23495,-0.14355,0.03718,-0.00364,0.19584,-2.57648,4.02035,-1.15548,0.2346,0.00314,-0.02379,0.00737,-0.00076,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
7,2026-04-11,14:08:44.01,2,1,"Graham, Tanner",10102526,Right,EVA_ACE,"Simay, Timothy",1000119600,Right,SIU_SAL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.60264,-2.147305,-2.113279,2171.982081,203.622812,12:45,5.72798,1.26758,6.50689,-18.32493,17.8034,7.20859,2.22796,-0.07204,79.01159,-5.686344,-0.805132,0.432609,96.9281,24.661822,-16.521923,3101.294627,105.3049,48.26617,-31.79279,348.01786,334.40505,-17.884906,4.674195,-4.48799,10.42812,-1.12299,50,5.56984,4.41511,-127.07065,-5.22773,-7.21466,30.12442,-15.41039,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,dc57c130-35d9-11f1-a620-33005328f318,87.12825,68.57296,,8.59105,,,,2.60389,2.48934,0.03407,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:08:44.01,2026-04-11T14:08:44.0170000-05:00,2026-04-11T19:08:44.0170000Z,FlyBall,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Magill, Spike",10250132,Right,EVA_ACE,a6b21526-6665-4d8b-9c30-50e0a447982d,53.99056,-128.01319,15.06221,5.72587,-4.74557,-7.7052,-1.26466,4.64084,-3.60733,172.618369,2.60388,123.85834,-25.87314,6.14855,-1.25549,0.24414,-0.04227,0.00494,-0.00026,2.49019,59.29993,-13.23753,-0.35058,0.30838,-0.12908,0.03346,-0.00437,0.00022,0.0344,-36.74797,5.74725,-1.14881,0.2471,-0.05953,0.01218,-0.0015,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
8,2026-04-11,14:09:17.15,3,1,"Graham, Tanner",10102526,Right,EVA_ACE,"Lofton, Cecil ""Bryson""",1000097255,Right,SIU_SAL,Undefined,1,Top,2,0,0,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,76.9853,1.091655,-0.463627,2513.877065,68.08219,8:15,5.63484,1.34417,5.8889,-50.0257,-2.23142,-9.7419,2.47983,0.10185,69.82331,-8.141177,-2.214327,0.497576,86.22127,48.230045,1.61736,,109.87248,112.15342,-5.29151,234.72137,102.80987,-5.681824,5.717619,4.87107,-1.07874,-1.30101,50,5.69396,1.25634,-111.72986,0.58622,6.05269,23.32643,-33.51445,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,f01d6670-35d9-11f1-a620-33005328f318,75.75215,121.8978,,7.16199,,,,2.92122,2.93399,-0.28078,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:09:17.15,2026-04-11T14:09:17.1550000-05:00,2026-04-11T19:09:17.1550000Z,FlyBall,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Magill, Spike",10250132,Right,EVA_ACE,4b3718eb-a839-4d35-909e-bb1009ba455c,54.61061,-112.68833,11.66322,5.64158,1.96331,-16.75723,-1.34753,1.00763,3.02635,,2.92635,84.10075,-22.96387,6.03238,-1.01157,0.07538,0.00573,-0.00145,7E-05,2.93094,94.36308,-21.54747,1.1798,0.08836,-0.10001,0.02903,-0.00392,0.0002,-0.28028,2.36359,-4.80503,1.70166,-0.38354,0.05197,-0.0026,-0.00018,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
9,2026-04-11,14:12:23.53,1,1,"Shepard, Troy",1000446432,Left,SIU_SAL,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.54302,-1.212602,2.707668,2147.681089,147.545721,11:00,6.14175,-1.65776,6.13364,-18.65277,19.2043,-11.27127,3.46517,-0.09258,77.30919,-4.823866,0.678227,0.442838,,,,,,,,,,,,6.68016,10.70855,1.45624,50,6.03937,-5.45267,-125.29999,-3.1307,10.37231,30.82421,-15.54684,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,5f2f8b10-35da-11f1-a620-33005328f318,85.11561,,,9.23383,,,,,,,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:12:23.53,2026-04-11T14:12:23.5320000-05:00,2026-04-11T19:12:23.5320000Z,,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Farnum, Xavier",814730,Right,SIU_SAL,9082e1dc-27b3-4823-a169-593910960873,54.35919,-126.36781,15.4121,6.13849,-2.59212,-7.77342,1.65136,-5.81199,5.18616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-11,14:12:40.36,1,2,"Shepard, Troy",1000446432,Left,SIU_SAL,"Magill, Spike",10250132,Right,EVA_ACE,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.17835,-2.394235,0.445416,2148.647453,174.380143,11:45,6.12574,-1.61637,6.14165,-12.62198,25.55805,-2.36583,2.85999,-1.4019,76.94233,-4.920691,0.018872,0.444723,,,,,,,,,,,,1.35811,14.36217,1.58352,50,5.93628,-0.87067,-124.79337,-5.43402,2.08987,30.77773,-10.07344,EVA_ACE,SIU_SAL,EvansvilleU,D1,MVC,20260411-EvansvilleU-1,6943cdf0-35da-11f1-a620-33005328f318,84.75489,,,9.23602,,,,,,,9663d63e-4cb6-4ac3-9ddf-b75c1379cbff,2026-04-11,19:12:40.36,2026-04-11T14:12:40.3680000-05:00,2026-04-11T19:12:40.3680000Z,,v3,471290,471447,4a8e9d52a51e4f5984ae700fa8b747e0,"Farnum, Xavier",814730,Right,SIU_SAL,c93fdd17-e95a-4ff1-88da-ff76f30a01c3,54.34997,-125.86163,15.38887,6.11882,-5.08438,-5.03672,1.615,-0.94321,1.04493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
