PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-14,15:32:08.16,1,1,"Crowell, Caden",828112,Left,NOT_IRI,"Bennett, Gavin ",812517,Left,VAL_CRU,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.38651,-3.23548,8.160898,2455.392139,124.732803,10:15,5.79116,-2.5178,6.23253,-17.5884,15.47717,-20.35229,1.3068,3.3664,83.05216,-6.626136,4.541006,0.413866,,,,,,,,,,,,12.97469,9.43851,1.91196,50,5.53798,-18.21776,-133.80698,-8.12247,22.99601,34.90332,-15.44548,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,a078c770-3838-11f1-850e-ebe1f6d5d7f7,91.07411,,,10.33435,,,,,,,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:32:08.16,2026-04-14T15:32:08.1658368-04:00,2026-04-14T19:32:08.1658368Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,1fdc6f8a-9ace-4044-b74f-7283766741f7,54.25887,-134.91332,17.45166,5.78768,-7.63289,-7.72274,2.50097,-18.94668,11.49801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026-04-14,15:32:26.64,1,2,"Crowell, Caden",828112,Left,NOT_IRI,"Bennett, Gavin ",812517,Left,VAL_CRU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.73277,-1.633832,4.356315,2410.161066,131.685174,10:30,5.83022,-2.70931,6.19757,-17.98403,13.74477,-14.23276,2.81847,0.134,85.14452,-5.053219,1.796949,0.405413,,,,,,,,,,,,8.57583,7.89725,2.38756,50,5.69775,-9.71702,-135.75189,-4.42823,15.92665,31.04522,-17.50758,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,ab7a5080-3838-11f1-850e-ebe1f6d5d7f7,92.97283,,,8.58825,,,,,,,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:32:26.64,2026-04-14T15:32:26.6458624-04:00,2026-04-14T19:32:26.6458624Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,7d121c94-33fa-42e4-afb4-e06a68c39c4b,54.3008,-136.7319,15.52261,5.82882,-3.87556,-8.75379,2.70223,-10.21978,7.96333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-14,15:32:41.62,1,3,"Crowell, Caden",828112,Left,NOT_IRI,"Bennett, Gavin ",812517,Left,VAL_CRU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.83675,-2.350084,5.162583,2407.133805,129.924285,10:15,5.7615,-2.79494,6.15878,-18.26324,14.3893,-15.80123,2.05838,0.67066,83.92945,-5.827696,2.327961,0.411273,,,,,,,,,,,,9.69721,8.48776,2.40963,50,5.57289,-11.43382,-134.17434,-6.07527,17.50089,31.74142,-16.85587,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,b46ea470-3838-11f1-850e-ebe1f6d5d7f7,91.64827,,,8.9073,,,,,,,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:32:41.62,2026-04-14T15:32:41.6263168-04:00,2026-04-14T19:32:41.6263168Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,4f5fbe6e-acee-4945-9dc8-75882385623a,54.33943,-135.19702,15.87071,5.75988,-5.53219,-8.42793,2.7871,-11.99768,8.75045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-14,15:32:58.54,1,4,"Crowell, Caden",828112,Left,NOT_IRI,"Bennett, Gavin ",812517,Left,VAL_CRU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,95.19741,-2.792637,4.588274,2504.635803,132.09511,10:30,5.90338,-2.5485,5.96085,-14.90666,16.27678,-16.80635,2.06116,0.31479,86.22734,-5.646553,1.580545,0.401914,,,,,,,,,,,,9.93308,9.48615,2.19267,50,5.67251,-10.27651,-137.64877,-7.17873,18.91821,32.64058,-14.10704,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,be829930-3838-11f1-850e-ebe1f6d5d7f7,93.78227,,,8.97007,,,,,,,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:32:58.54,2026-04-14T15:32:58.5430000-04:00,2026-04-14T19:32:58.5430000Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,fbe0ba19-d5b2-4e75-a07d-8b36071f7f27,54.53774,-138.72063,16.32029,5.90064,-6.71548,-7.05352,2.54033,-10.89775,9.4591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.76508,2.21062,1.166797,1.043823,-0.69899,1.84937,-0.37095,-2.73839,4.76502,1.52311,70.83698,6.5155,-53.94837,-2.71211,74.50419,-3.87342,4.81104,17.0233,-14.74403,1.45393,-59.86858,6.50766,High,High,High,,,High,High,High,,,
5,2026-04-14,15:33:28.07,2,1,"Crowell, Caden",828112,Left,NOT_IRI,"Riley, Eli",1000329817,Right,VAL_CRU,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.13461,-1.007828,3.331569,2503.292526,342.335763,5:30,5.87377,-2.65176,5.85029,-41.36943,-2.54614,1.20374,1.48813,0.54783,78.15417,-8.577348,3.547269,0.448454,,,,,,,,,,,,0.35197,-0.66256,2.37991,50,5.76739,-7.23584,-123.47486,-3.60577,0.54092,25.61336,-33.19238,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,d01de460-3838-11f1-850e-ebe1f6d5d7f7,84.04978,,,6.98044,,,,,,,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:33:28.07,2026-04-14T15:33:28.0717824-04:00,2026-04-14T19:33:28.0717824Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,332d89dd-623b-4821-958e-ba2c96f8c6c5,54.65086,-124.43589,12.80668,5.87932,-2.36038,-16.59619,2.65178,-7.25613,0.27046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026-04-14,15:33:40.58,2,2,"Crowell, Caden",828112,Left,NOT_IRI,"Riley, Eli",1000329817,Right,VAL_CRU,Undefined,1,Top,1,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.41981,-1.668599,3.173779,2531.464844,134.36707,10:30,5.88069,-2.45069,6.27323,-16.17296,15.41454,-14.52005,2.99195,-0.73196,84.49803,-4.796141,0.553317,0.40451,75.45618,54.170295,133.937556,4193.524909,,,,,42.08691,,,8.58973,8.90371,2.22251,50,5.74926,-6.94678,-136.74581,-4.44247,15.91064,36.27456,-15.6818,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,d78f41d0-3838-11f1-850e-ebe1f6d5d7f7,93.18055,49.53338,,9.92179,,,,0.76276,2.83986,0.67127,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:33:40.58,2026-04-14T15:33:40.5870000-04:00,2026-04-14T19:33:40.5870000Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,b6900439-65c1-4aa3-b6ad-12c54b2cfaae,54.22385,-137.86172,18.13728,5.8785,-3.96006,-7.8409,2.44374,-7.43624,7.95532,339.712411,0.76276,-44.95147,-1.8022,1.82657,-0.57216,0.77017,-2.29877,3.27029,-1.6324,2.83986,89.72587,-32.96449,4.6747,-1.12908,1.02165,-2.47034,3.22174,-1.53416,0.67127,46.65011,-5.69776,0.728,-0.13611,0.15671,-0.33918,0.37807,-0.16069,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,73.83335,13.21456,0.63492
7,2026-04-14,15:33:58.83,2,3,"Crowell, Caden",828112,Left,NOT_IRI,"Riley, Eli",1000329817,Right,VAL_CRU,Undefined,1,Top,1,0,2,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,94.63059,-1.673584,5.9793,2544.84181,127.673405,10:15,5.87424,-2.33477,6.41285,-18.33647,12.6619,-15.04237,2.79864,1.92917,85.95141,-5.16222,3.274893,0.40072,,,,,,,,,,,,9.73378,7.42717,1.91293,50,5.74553,-13.72866,-136.82587,-4.56987,18.35022,31.75421,-18.17233,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,e26dd990-3838-11f1-850e-ebe1f6d5d7f7,94.06188,,,8.67918,,,,,,,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:33:58.83,2026-04-14T15:33:58.8332032-04:00,2026-04-14T19:33:58.8332032Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,d63e559d-bc83-498b-bf0c-6f9b9b367fa6,54.08933,-137.77164,15.8771,5.87358,-4.02863,-9.08616,2.32996,-14.27521,9.17511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026-04-14,15:34:36.63,3,1,"Crowell, Caden",828112,Left,NOT_IRI,"Pleau, Brayden",10020980,Right,VAL_CRU,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.47627,-1.935962,4.18603,2464.940024,130.235163,10:15,5.86413,-2.5535,6.2437,-16.78032,15.08721,-16.54509,2.67466,-0.06434,84.83502,-5.144773,1.206556,0.406299,76.54046,62.795127,126.527719,4670.205511,,,,,25.62179,,,9.84119,8.72449,2.2494,50,5.71127,-9.21384,-135.42414,-5.07939,18.15684,31.3736,-16.07749,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,f8f6e490-3838-11f1-850e-ebe1f6d5d7f7,92.77023,45.16531,,8.64125,,,,1.29869,2.74109,0.08051,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:34:36.63,2026-04-14T15:34:36.6305792-04:00,2026-04-14T19:34:36.6305792Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,2d1c8a29-e37b-4cd4-b114-13c011d8ee10,54.25657,-136.4067,15.6868,5.86246,-4.57588,-8.03875,2.54686,-9.78247,9.07842,345.845743,1.29869,-30.54717,-4.79936,2.69358,-2.27171,7.03935,-16.60216,20.39915,-9.87148,2.74109,99.84094,-35.86927,5.588,-2.33113,5.20005,-11.95591,14.57033,-6.98328,0.08051,41.24059,-2.46157,-0.53677,0.95149,-3.3215,7.88794,-9.71709,4.71695,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,
9,2026-04-14,15:35:17.06,3,2,"Crowell, Caden",828112,Left,NOT_IRI,"Pleau, Brayden",10020980,Right,VAL_CRU,Undefined,1,Top,1,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.93129,-0.928386,3.295551,2491.276758,117.598657,10:00,5.90827,-2.62773,5.73762,-23.38426,9.4456,-15.92816,3.09357,-0.88289,84.30347,-5.293632,0.449241,0.412388,78.69052,43.946477,134.848064,3868.453755,,,,,55.49799,,,9.06898,5.41449,2.3629,50,5.81664,-7.03155,-134.68638,-3.0151,16.53727,31.24681,-22.30072,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,1111b320-3839-11f1-850e-ebe1f6d5d7f7,91.40047,43.94907,,8.62782,,,,0.15077,3.0137,0.99973,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:35:17.06,2026-04-14T15:35:17.0615808-04:00,2026-04-14T19:35:17.0615808Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,a9c27937-39cb-4e40-bce9-4781a8890288,54.7616,-135.78656,15.6234,5.90897,-2.2299,-11.15036,2.62073,-7.61382,8.26864,,0.15077,-58.60227,-1.45323,1.70656,1.6772,-7.67325,14.0664,-12.60564,4.45031,3.0137,80.09405,-32.5712,4.35045,1.06684,-6.73861,12.27762,-10.85774,3.78537,0.99973,58.91306,-7.31285,0.83742,0.16869,-0.89226,1.52693,-1.29028,0.43129,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,66.41241,10.33883,15.74146
10,2026-04-14,15:37:51.13,3,3,"Crowell, Caden",828112,Left,NOT_IRI,"Pleau, Brayden",10020980,Right,VAL_CRU,Undefined,1,Top,1,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.42621,-1.654134,3.39766,2480.044743,279.802036,3:15,5.96831,-2.75541,5.77037,-38.94266,0.92772,2.44189,1.18058,0.61373,77.08816,-8.788061,3.834472,0.454461,,,,,,,,,,,,-0.20067,1.34772,2.47262,50,5.80764,-7.35861,-122.30415,-4.86557,-0.30065,26.56733,-30.15483,NOT_IRI,VAL_CRU,FrankEck,D1,ACC,20260414-FrankEck-1,6ce6ea80-3839-11f1-850e-ebe1f6d5d7f7,82.9388,,,7.33805,,,,,,,dd853574-2334-406b-a9cc-232829d2716a,2026-04-14,19:37:51.13,2026-04-14T15:37:51.1398400-04:00,2026-04-14T19:37:51.1398400Z,,v3,225,471476,3672ec8e3d05b68bc0be,"Miranda, Shane",827733,Right,NOT_IRI,c0793fe6-f8f8-466c-a6e1-75654da6f5a0,54.72983,-123.3273,13.28367,5.97265,-3.70426,-15.07742,2.75579,-7.34703,-0.15032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
