PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-14,18:06:22.46,1,1,"Roundy, Brock",10274719,Left,DIX_STE,"Rosales, Marcos",823928,Right,UNL_REB,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.17363,-2.306541,3.170602,2075.291848,135.183284,10:30,5.70089,-2.48863,5.63952,-24.18092,13.49812,-12.0654,1.52955,-0.53316,78.9019,-6.826438,1.01789,0.441796,70.98121,53.220251,74.779629,5279.829993,,,,,61.76895,,,7.1443,7.96414,2.22696,50,5.48933,-6.47794,-126.18121,-5.88121,11.37323,28.69257,-19.49565,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,f010f340-385e-11f1-b80e-e9cd7717dfb4,85.31645,66.15182,,8.27173,,,,2.39891,1.64632,0.55095,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:06:22.46,2026-04-14T18:06:22.4630000-06:00,2026-04-15T00:06:22.4630000Z,,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,aac00f65-6d18-494e-9612-32d7b4fe7dcb,54.8597,-127.28147,14.34628,5.70052,-5.13362,-9.74782,2.48372,-6.91406,5.68662,,2.39891,16.36401,-8.80831,2.50856,-0.49648,-0.07499,0.22199,-0.16357,0.04617,1.64632,83.38267,-24.41832,2.54736,-0.49211,0.07839,-0.00693,-0.00317,0.00123,0.55095,60.14585,-5.39067,0.81769,-0.10947,0.02194,-0.0159,0.0099,-0.00288,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,,,,
2,2026-04-14,18:06:44.29,1,2,"Roundy, Brock",10274719,Left,DIX_STE,"Rosales, Marcos",823928,Right,UNL_REB,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.51015,-1.551164,3.484016,2121.079863,136.305894,10:30,5.71027,-2.46824,5.69069,-20.47458,14.64883,-12.94902,2.55532,-0.29615,82.02723,-5.382772,1.173662,0.42655,76.45458,48.763154,106.799017,4185.267857,,,,,24.83295,,,7.56174,8.20264,2.18341,50,5.56688,-7.35168,-129.80663,-4.19411,12.94322,26.35736,-18.1338,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,fd091c30-385e-11f1-b80e-e9cd7717dfb4,88.36587,31.9735,,7.48291,,,,1.39136,2.56069,0.09524,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:06:44.29,2026-04-14T18:06:44.2980000-06:00,2026-04-15T00:06:44.2980000Z,,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,bcdc49ab-6f36-48d2-a3b8-5fa01ad25860,54.81076,-130.77981,13.17868,5.70937,-3.52457,-9.0669,2.46367,-7.82957,6.47161,291.929908,1.3949,-21.49032,-3.17213,,,,,,,2.55798,84.42269,-14.5364,,,,,,,0.10653,70.35789,-18.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,
3,2026-04-14,18:07:06.07,1,3,"Roundy, Brock",10274719,Left,DIX_STE,"Rosales, Marcos",823928,Right,UNL_REB,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.9351,-0.436224,2.060162,2157.877415,133.679217,10:30,5.75749,-2.45281,5.64481,-20.95946,14.18257,-13.59516,3.60368,-1.66315,81.48528,-4.381608,-0.367446,0.426663,,,,,,,,,,,,7.47713,7.66792,2.28656,50,5.70731,-4.08221,-130.42794,-1.68343,12.77758,29.46959,-19.07044,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,0a0c68b0-385f-11f1-b80e-e9cd7717dfb4,88.34248,,,8.44982,,,,,,,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:07:06.07,2026-04-14T18:07:06.0700000-06:00,2026-04-15T00:07:06.0700000Z,,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,14077546-0ed3-413f-9fb4-c03f0f41faa8,54.85338,-131.51997,14.73479,5.7566,-0.97676,-9.53522,2.4466,-4.5557,6.38879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-14,18:07:23.20,1,4,"Roundy, Brock",10274719,Left,DIX_STE,"Rosales, Marcos",823928,Right,UNL_REB,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,78.4151,0.460855,3.370289,2342.391704,338.763727,5:15,5.32703,-2.91213,5.1935,-47.87262,-0.02193,0.71961,1.77194,0.32192,70.52097,-8.278041,3.497549,0.49787,52.54506,43.838989,36.771521,2693.358168,82.22614,28.58256,73.06732,142.22996,122.52402,42.640516,2.967797,0.82083,0.24748,2.59856,50,5.33359,-6.70509,-113.36943,-0.7283,1.04181,25.51319,-31.85994,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,14426460-385f-11f1-b80e-e9cd7717dfb4,75.70746,37.70069,,7.89413,,,,4.71351,2.23524,-0.12064,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:07:23.20,2026-04-14T18:07:23.2030000-06:00,2026-04-15T00:07:23.2030000Z,Popup,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,7a16a746-5845-4cc1-81ff-13522af8ef96,55.30597,-114.55729,12.75659,5.33297,0.75505,-15.92997,2.91187,-6.75359,0.52091,272.437041,4.71497,44.45933,-4.71746,-0.70614,2.23355,-1.82718,0.72537,-0.1401,0.01061,2.23629,53.3318,-22.29818,1.32787,1.11823,-1.12543,0.46117,-0.0898,0.00673,-0.1205,33.27881,2.4989,-1.30241,-0.48592,0.98115,-0.57344,0.14612,-0.01378,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,
5,2026-04-14,18:08:05.20,2,1,"Roundy, Brock",10274719,Left,DIX_STE,"Rodriguez, Jonathan",1000441847,Left,UNL_REB,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.89247,-2.257416,3.590675,2237.416362,143.161594,10:45,5.7534,-2.3224,5.66906,-19.27194,16.55446,-11.52394,2.03737,0.06959,81.1778,-5.880061,1.535988,0.430797,95.51034,-7.047858,12.393031,,,,,19.57657,19.48181,11.228198,0.13005,6.87835,9.39626,2.02627,50,5.5503,-7.58649,-128.77041,-5.69731,11.53964,26.94739,-16.4101,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,2d480820-385f-11f1-b80e-e9cd7717dfb4,87.49462,2.23832,,7.71467,,,,1.51912,2.23832,-0.07365,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:08:05.20,2026-04-14T18:08:05.2000000-06:00,2026-04-15T00:08:05.2000000Z,GroundBall,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,eae0bb46-f6b6-4cba-8ade-6f5ba6c7d181,54.83124,-129.77749,13.47369,5.75176,-5.08403,-8.20505,2.31785,-8.01775,5.76982,180,1.51525,135.96878,,,,,,,,2.23881,-17.21121,,,,,,,,-0.07451,29.87734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,
6,2026-04-14,18:08:47.87,3,1,"Roundy, Brock",10274719,Left,DIX_STE,"Barragan, Drew",838865,Right,UNL_REB,Undefined,1,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,88.17052,-1.194148,3.602035,2145.005025,133.739162,10:30,5.62785,-2.44582,5.64942,-23.72352,12.34705,-11.79221,2.5347,-0.06431,81.24584,-5.594009,1.500092,0.432263,106.04183,4.875389,-16.14986,1392.729268,,,,117.08454,112.82038,-17.575453,0.850854,6.943,6.89831,2.14782,50,5.51127,-7.55941,-127.92732,-3.4744,11.60544,24.24789,-20.64332,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,46b52040-385f-11f1-b80e-e9cd7717dfb4,87.19795,4.57572,,6.92468,,,,1.76565,2.4136,0.13883,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:08:47.87,2026-04-14T18:08:47.8710000-06:00,2026-04-15T00:08:47.8710000Z,GroundBall,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,02fee81f-49cb-43c8-a8b2-3d0b159aa34b,54.85263,-128.84382,12.12394,5.62784,-2.69414,-10.32166,2.44184,-7.99807,5.80272,68.170596,1.88717,146.88757,-21.2126,,,,,,,2.47796,12.17918,-17.81685,,,,,,,0.14632,-43.23071,1.76218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
7,2026-04-14,18:09:30.08,4,1,"Roundy, Brock",10274719,Left,DIX_STE,"Garcia, Ayden",814503,Left,UNL_REB,Undefined,1,Top,2,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.7333,-2.281348,4.237314,2168.012327,132.021969,10:30,5.72537,-2.37402,5.64284,-21.10072,14.99769,-15.30615,1.83185,0.31049,80.89333,-6.231936,1.511821,0.43243,,,,,,,,,,,,9.04587,8.62804,2.02385,50,5.51778,-8.86676,-128.4376,-5.82,15.06706,27.31276,-17.80294,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,5fe22220-385f-11f1-b80e-e9cd7717dfb4,87.16432,,,7.83997,,,,,,,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:09:30.08,2026-04-14T18:09:30.0860000-06:00,2026-04-15T00:09:30.0860000Z,,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,ec2be649-05fd-421b-add2-db3b1630f644,54.8585,-129.46665,13.65638,5.72442,-5.14924,-8.90147,2.36862,-9.43444,7.53353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026-04-14,18:09:51.91,4,2,"Roundy, Brock",10274719,Left,DIX_STE,"Garcia, Ayden",814503,Left,UNL_REB,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.72484,-1.273101,5.753923,2217.27003,92.067614,9:00,5.29028,-2.67712,5.01035,-47.28365,1.98799,-3.23103,0.14202,2.50305,70.27233,-9.820832,5.187184,0.505208,,,,,,,,,,,,3.59721,1.86543,2.12595,50,5.12934,-11.15268,-111.96399,-4.13405,4.46583,24.3604,-29.85814,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,6cf91db0-385f-11f1-b80e-e9cd7717dfb4,74.60781,,,7.45251,,,,,,,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:09:51.91,2026-04-14T18:09:51.9120000-06:00,2026-04-15T00:09:51.9120000Z,,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,97b3e169-72dc-4797-adbe-096a311ccb9e,55.48919,-113.152,12.1802,5.29545,-2.67794,-14.92907,2.67515,-11.37047,2.23291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
9,2026-04-14,18:10:13.38,4,3,"Roundy, Brock",10274719,Left,DIX_STE,"Garcia, Ayden",814503,Left,UNL_REB,Undefined,1,Top,2,1,1,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,77.43768,-0.871486,4.898544,2272.174509,354.718818,5:45,5.35023,-2.68428,4.96636,-51.33353,-2.98032,0.40799,0.2461,1.98849,71.85302,-10.051707,4.970236,0.500477,,,,,,,,,,,,1.10969,-0.94083,2.20897,50,5.22278,-9.61974,-112.05696,-3.51941,1.41598,19.57475,-33.37459,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,79ba5820-385f-11f1-b80e-e9cd7717dfb4,75.31301,,,5.58465,,,,,,,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:10:13.38,2026-04-14T18:10:13.3890000-06:00,2026-04-15T00:10:13.3890000Z,,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,49d19354-2c37-478e-8628-6fee7f74a6c9,55.53726,-113.0201,9.78738,5.35554,-1.87727,-16.68729,2.684,-9.68941,0.70799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-14,18:10:40.96,4,4,"Roundy, Brock",10274719,Left,DIX_STE,"Garcia, Ayden",814503,Left,UNL_REB,Undefined,1,Top,2,2,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.44659,-1.885495,3.928098,2190.308101,144.615863,10:45,5.7351,-2.3056,5.82873,-17.75674,17.49954,-11.59418,2.49783,0.38555,81.43241,-5.254402,1.856451,0.427356,100.62995,26.814292,-5.43733,3294.365906,108.79754,52.38896,-16.2157,359.93232,349.06538,-14.613259,4.888493,7.0702,9.83642,1.9913,50,5.57034,-8.40448,-129.5563,-4.80846,11.97693,27.90547,-15.51115,DIX_STE,UNL_REB,BruceHurst,D1,WAC,20260414-BruceHurst-1,8a240120-385f-11f1-b80e-e9cd7717dfb4,88.19917,75.37894,,8.01418,,,,1.7798,2.57366,-0.37709,c6cbcea1-67bb-4310-8087-f8fca9445aa2,2026-04-15,00:10:40.96,2026-04-14T18:10:40.9680000-06:00,2026-04-15T00:10:40.9680000Z,FlyBall,v3,526275,471376,02106c8cdbd54f878a24788c17114abb,"Pyle, Andrew",811564,Right,DIX_STE,a607b1bd-5143-4776-b638-5900b63622f4,54.67136,-130.5586,13.95273,5.73304,-4.25134,-7.75557,2.3009,-8.83466,5.98847,148.56918,1.78092,131.10673,-26.84752,5.99242,-1.17765,0.21781,-0.03979,0.00536,-0.00032,2.57534,66.53724,-16.29411,0.26634,0.30321,-0.17086,0.04893,-0.0067,0.00035,-0.37671,-12.48892,-5.52479,2.14793,-0.5106,0.09455,-0.01533,0.00178,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
