PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-11,12:03:55.29,1,1,"Grube, Chase",10147443,Left,ERS_COL,"Lieux, David Michael",1000513464,Right,BAR_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.72876,-1.471906,1.946247,2180.981591,147.641041,11:00,6.04537,-1.99164,5.4444,-20.86733,17.56824,-10.22457,2.92711,-1.02062,78.00868,-5.415862,0.127185,0.446209,,,,,,,,,,,,5.73004,9.70642,1.8266,50,5.90124,-3.80712,-125.5557,-3.88233,8.99765,29.28892,-16.93243,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,0a45b710-35c0-11f1-85be-4f0859317c55,84.47266,,,8.72008,,,,,,,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:03:55.29,2026-04-11T12:03:55.2940000-04:00,2026-04-11T16:03:55.2940000Z,,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,292dde57-bf7e-4e8a-b23d-72575079dff6,55.05288,-126.72892,14.64446,6.04318,-3.20407,-8.46622,1.98632,-4.16754,4.49883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026-04-11,12:04:06.57,1,2,"Grube, Chase",10147443,Left,ERS_COL,"Lieux, David Michael",1000513464,Right,BAR_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,85.83699,-1.878419,2.329398,2184.382992,149.013714,11:00,6.05849,-1.96615,5.46019,-22.85399,17.0041,-9.20363,2.39357,-0.55142,76.13367,-6.212953,0.691836,0.454391,94.14031,-59.713501,-85.866646,,,,,2.48803,2.27197,-20.094874,0.021725,5.53059,9.73288,1.76738,50,5.8779,-4.64594,-124.03464,-4.78548,8.32925,32.49069,-17.51602,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,10fc7710-35c0-11f1-85be-4f0859317c55,82.95158,2.59562,,9.70332,,,,2.22731,2.59562,0.65717,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:04:06.57,2026-04-11T12:04:06.5790000-04:00,2026-04-11T16:04:06.5790000Z,GroundBall,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,a4dd7512-111d-478b-aed0-67f90273f171,55.03751,-125.34726,16.24535,6.05694,-4.07783,-8.75801,1.96187,-4.98244,4.16462,,2.22727,5.0296,,,,,,,,2.5965,-119.47862,,,,,,,,0.65767,-69.5984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,
3,2026-04-11,12:04:56.49,2,1,"Grube, Chase",10147443,Left,ERS_COL,"Hughesman, Tyler",1000148803,Right,BAR_COL,Undefined,1,Top,0,0,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.80723,-0.189278,-0.015182,2060.829363,134.64716,10:30,5.93778,-2.04618,5.45658,-32.48128,16.37363,-14.38796,3.05382,-3.25939,68.52777,-6.322825,-2.577014,0.503067,,,,,,,,,,,,7.11575,8.90056,2.05728,50,5.89991,0.62733,-112.40092,-1.33446,8.72856,28.17286,-21.25611,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,2ec40fb0-35c0-11f1-85be-4f0859317c55,74.92534,,,9.27945,,,,,,,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:04:56.49,2026-04-11T12:04:56.4910000-04:00,2026-04-11T16:04:56.4910000Z,,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,d3c320ce-9602-49e0-9a22-a6b9ee896dcd,55.03515,-113.65596,14.08643,5.93826,-0.38755,-10.62805,2.038,0.23849,4.36428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-11,12:05:10.94,2,2,"Grube, Chase",10147443,Left,ERS_COL,"Hughesman, Tyler",1000148803,Right,BAR_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.45588,-3.248734,2.975228,2305.505977,140.65049,10:45,5.9964,-1.88725,5.46326,-21.38076,18.7958,-14.04119,1.16642,-0.26997,76.12966,-7.303324,0.477804,0.456203,,,,,,,,,,,,8.08091,11.07737,1.63468,50,5.69563,-5.7863,-123.31572,-7.65315,12.09243,30.96427,-15.59769,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,3761b820-35c0-11f1-85be-4f0859317c55,82.62216,,,9.32622,,,,,,,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:05:10.94,2026-04-11T12:05:10.9400000-04:00,2026-04-11T16:05:10.9400000Z,,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,28557a04-ee6f-4701-b898-9740c51568a2,55.03283,-124.57304,15.48214,5.99353,-7.01979,-7.79885,1.87961,-6.27732,6.04621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026-04-11,12:05:27.09,2,3,"Grube, Chase",10147443,Left,ERS_COL,"Hughesman, Tyler",1000148803,Right,BAR_COL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,85.06959,-2.052533,3.222452,2244.534657,142.231132,10:45,6.03529,-1.95125,5.38655,-21.75978,18.72009,-13.23831,2.29415,-0.03066,75.8948,-6.177326,0.87284,0.457921,82.10946,51.435861,9.045682,,106.1199,115.1773,28.95801,220.53234,114.44804,18.581356,5.595513,7.79709,10.57989,1.67259,50,5.83687,-6.34398,-122.89753,-5.08134,11.61684,30.2216,-16.41114,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,410055d0-35c0-11f1-85be-4f0859317c55,82.31203,119.00338,,9.17479,,,,1.73885,2.54461,0.11289,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:05:27.09,2026-04-11T12:05:27.0950000-04:00,2026-04-11T16:05:27.0950000Z,FlyBall,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,0689d614-64e5-4c18-9351-2cfd55d3c80e,55.11184,-124.14821,15.1108,6.0331,-4.40218,-8.20557,1.94508,-6.82473,5.80842,,1.7423,74.06545,-19.77093,5.18948,-0.81641,0.02948,0.01482,-0.00252,0.00012,2.54166,94.2081,-22.28452,1.60499,-0.08979,-0.05575,0.02296,-0.00358,0.0002,0.11278,11.80865,2.03062,-0.9796,0.22761,-0.02059,-0.00288,0.00081,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,,,
6,2026-04-11,12:06:05.45,3,1,"Grube, Chase",10147443,Left,ERS_COL,"McDougall, Mason",823377,Left,BAR_COL,Undefined,1,Top,1,0,0,Fastball,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.5557,-1.732001,1.387705,2198.017729,141.288906,10:45,6.11607,-1.91263,5.29814,-22.07781,19.17725,-13.98528,2.6491,-1.7749,75.03488,-5.9268,-1.095029,0.462285,,,,,,,,,,,,7.62666,10.75871,1.79741,50,5.94345,-2.36596,-122.26066,-4.38242,11.15715,31.61909,-16.43493,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,57d49aa0-35c0-11f1-85be-4f0859317c55,81.53504,,,9.52082,,,,,,,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:06:05.45,2026-04-11T12:06:05.4560000-04:00,2026-04-11T16:06:05.4560000Z,,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,0644c0f4-4860-4aec-b9fb-28d3a59ffc38,55.20164,-123.59859,15.80955,6.11418,-3.68699,-8.21746,1.90751,-2.83807,5.57857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
7,2026-04-11,12:06:23.30,3,2,"Grube, Chase",10147443,Left,ERS_COL,"McDougall, Mason",823377,Left,BAR_COL,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.17528,0.317707,1.254269,2021.287758,220.935636,1:15,5.87602,-2.04051,5.29668,-48.29542,3.9715,1.93004,2.14978,-0.70182,67.83512,-8.497666,1.597215,0.520337,,,,,,,,,,,,-0.59059,2.4274,1.92491,50,5.86993,-2.42873,-107.57448,-0.95642,-0.68724,19.87558,-29.34937,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,628878e0-35c0-11f1-85be-4f0859317c55,72.4385,,,6.34017,,,,,,,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:06:23.30,2026-04-11T12:06:23.3030000-04:00,2026-04-11T16:06:23.3030000Z,,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,3fe5dd96-0f86-4120-baf1-44dd4c78b372,55.20395,-108.53171,9.93779,5.88196,0.45707,-14.67469,2.04109,-2.39563,-0.34362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026-04-11,12:06:38.65,3,3,"Grube, Chase",10147443,Left,ERS_COL,"McDougall, Mason",823377,Left,BAR_COL,Undefined,1,Top,1,1,1,Fastball,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.77594,-2.564731,2.510157,2277.796067,136.134052,10:30,6.13252,-1.7994,5.40075,-22.76092,18.1041,-15.77182,1.82843,-0.75991,75.47125,-6.870886,-0.293598,0.460095,79.22981,-2.636306,66.305621,,,,,28.12135,28.12135,65.602186,0.237036,8.83367,10.49556,1.58696,50,5.88832,-4.68192,-122.46025,-6.19436,13.01842,30.83211,-16.70649,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,6b9e3780-35c0-11f1-85be-4f0859317c55,81.92322,1.84552,,9.30469,,,,1.36079,1.84552,0.84385,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:06:38.65,2026-04-11T12:06:38.6510000-04:00,2026-04-11T16:06:38.6510000Z,GroundBall,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,978ee81d-30fe-4dcc-915f-c4a376152459,55.097,-123.73687,15.41605,6.13048,-5.50261,-8.35325,1.79197,-5.22095,6.50921,,1.36233,46.56196,-13.9648,,,,,,,1.84554,-5.34597,-10.29403,,,,,,,0.84418,106.27699,-7.58057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,
9,2026-04-11,12:07:02.32,3,4,"Grube, Chase",10147443,Left,ERS_COL,"McDougall, Mason",823377,Left,BAR_COL,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.84953,-1.894658,4.203236,2213.177122,145.212821,10:45,6.10188,-1.75059,5.53683,-20.18647,19.37265,-12.35449,2.64325,1.15585,76.58289,-5.745877,2.00897,0.452684,,,,,,,,,,,,7.62469,10.84359,1.39328,50,5.92404,-8.5565,-123.90816,-4.69938,11.57183,30.2502,-15.71697,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,79bcdf10-35c0-11f1-85be-4f0859317c55,83.26441,,,9.26664,,,,,,,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:07:02.32,2026-04-11T12:07:02.3280000-04:00,2026-04-11T16:07:02.3280000Z,,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,c3998820-fc93-4f45-a9bd-fb45a64dcf05,54.95908,-125.11298,15.1251,6.09874,-4.0734,-7.85848,1.74325,-9.01739,5.78592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-11,12:07:21.36,3,5,"Grube, Chase",10147443,Left,ERS_COL,"McDougall, Mason",823377,Left,BAR_COL,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,75.69849,0.051982,2.152834,2046.038297,199.670181,12:45,5.96708,-1.87823,5.42083,-47.07723,3.91583,0.67945,2.09271,0.19603,67.91457,-8.612405,2.273758,0.513957,89.4113,25.202136,2.180677,3281.652622,109.9994,45.78037,-0.05084,329.68729,323.36773,-6.006516,4.357023,0.43386,2.5039,1.68642,50,5.93938,-4.14329,-109.52288,-1.40228,0.51227,24.37493,-29.21762,ERS_COL,BAR_COL,GrierField,D2,CC,20260411-GrierField-1,851dc630-35c0-11f1-85be-4f0859317c55,73.3377,58.85543,,7.78392,,,,1.86491,2.22001,-0.16086,3102ae01-a3d3-490f-9c7d-aeac08b4cc87,2026-04-11,16:07:21.36,2026-04-11T12:07:21.3630000-04:00,2026-04-11T16:07:21.3630000Z,LineDrive,v3,643-144855,643-144456,8878,"Lopez, Giovanni",10876483,Right,ERS_COL,b08e2b49-a8de-41a8-afea-56e1ea83399f,55.07782,-110.64721,12.18747,5.97298,-0.05458,-14.60881,1.87808,-4.16692,0.25614,158.309922,1.86448,118.57458,-20.55741,4.56313,-0.91055,0.17484,-0.02975,0.00343,-0.00018,2.22065,55.83202,-14.82375,0.74586,-0.17818,0.04317,-0.00636,0.00066,-4E-05,-0.16113,4.52224,-4.97365,1.0143,-0.26947,0.07607,-0.01691,0.00217,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
