PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-11,11:59:38.05,1,1,"Harrell, Logan",10047114,Right,TNU,"Holliman, Landon",1000496118,Right,DEL_STA,Undefined,1,Top,0,0,0,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,86.69252,-1.842261,-1.12417,2289.906847,158.856212,11:15,6.68504,1.43432,6.49445,-29.38675,6.99087,-2.2578,2.54409,0.21408,79.52719,-7.338935,-1.534499,0.434099,89.78011,21.841207,13.731751,3691.52984,105.42888,37.28164,31.38048,322.78557,303.91182,22.85784,3.69072,0.86811,4.5313,-1.35463,50,6.54306,2.55592,-125.99908,-4.93021,1.39153,26.28952,-24.91059,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,d363e7a0-35c7-11f1-a2fe-996ba5106920,86.8292,44.71552,,7.16533,,,,0.87014,2.53844,-0.15667,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,16:59:38.05,2026-04-11T11:59:38.0529664-05:00,2026-04-11T16:59:38.0529664Z,LineDrive,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,27e37b5e-196f-4b33-8a1c-b36c679d332d,54.00539,-126.83204,13.14476,6.68677,-4.14094,-12.4553,-1.43491,2.51183,0.69576,219.580168,0.87033,118.72357,-19.10887,4.02737,-0.67962,0.07624,-0.00202,-0.00095,0.00012,2.53792,49.00921,-15.37317,1.07598,-0.45082,0.18421,-0.04946,0.00779,-0.00053,-0.1568,29.0189,2.38229,-0.47482,0.05325,0.01076,-0.0056,0.00096,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
2,2026-04-11,12:00:09.15,2,1,"Harrell, Logan",10047114,Right,TNU,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.21237,-3.768613,-2.609927,2249.987554,217.399905,1:15,6.57194,1.35774,6.29648,-14.98804,18.58584,13.28678,1.84179,0.05844,82.58033,-6.661505,-0.208978,0.417035,,,,,,,,,,,,-7.72843,11.19627,-1.17197,50,6.28699,5.47498,-132.07861,-9.09447,-13.48954,31.25541,-12.63161,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,e5f26c70-35c7-11f1-a2fe-996ba5106920,90.38199,,,8.63204,,,,,,,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:00:09.15,2026-04-11T12:00:09.1545600-05:00,2026-04-11T17:00:09.1545600Z,,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,d3870c78-2c2f-4960-a817-7f75e6c3c8f1,54.20186,-133.06924,15.6277,6.56889,-8.69412,-6.31581,-1.35227,5.90252,-6.74477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-11,12:00:25.92,2,2,"Harrell, Logan",10047114,Right,TNU,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.91636,-2.488416,-3.620277,2357.823669,179.68781,12:00,6.49163,1.65605,6.43738,-32.95758,5.01233,-0.01957,1.45238,-1.67694,77.606,-8.642778,-3.623823,0.443497,,,,,,,,,,,,-1.22126,3.92284,-1.39855,50,6.30022,7.86706,-124.32902,-6.42248,-1.87133,29.82255,-26.16316,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,f0048c70-35c7-11f1-a2fe-996ba5106920,84.98908,,,8.31036,,,,,,,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:00:25.92,2026-04-11T12:00:25.9269120-05:00,2026-04-11T17:00:25.9269120Z,,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,7af71a11-f5f0-48b0-bc12-570630c7ec2c,54.05777,-125.29857,14.91128,6.49519,-5.57191,-13.08158,-1.65531,7.9279,-0.93567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-11,12:00:41.65,2,3,"Harrell, Logan",10047114,Right,TNU,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.35402,-0.646987,-1.095517,2386.080344,59.021699,8:00,6.09061,1.75963,6.08321,-52.72404,-7.55945,-15.45532,1.09824,-0.54196,71.67482,-10.353069,-3.888131,0.483694,,,,,,,,,,,,7.49292,-3.04095,-1.66753,50,6.01411,2.7913,-115.07874,-2.99403,9.75862,27.08502,-36.13452,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,f95a8860-35c7-11f1-a2fe-996ba5106920,77.92626,,,7.6792,,,,,,,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:00:41.65,2026-04-11T12:00:41.6578560-05:00,2026-04-11T17:00:41.6578560Z,,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,e6189c37-6322-439d-bcf2-01be1700dd69,54.41457,-116.11311,13.54251,6.1021,-1.61407,-18.06726,-1.76701,2.41863,4.87931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026-04-11,12:01:00.95,2,4,"Harrell, Logan",10047114,Right,TNU,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,1,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.4601,-0.290051,-1.261426,2508.640423,66.574263,8:15,6.12314,1.76871,6.21131,-48.20444,-4.2574,-13.09296,1.83834,-0.48675,72.94438,-9.17334,-3.629842,0.477129,55.80904,16.338249,143.852585,2642.911795,,,,72.3052,33.24841,146.086437,0.99545,6.45347,-1.7552,-1.66759,50,6.07729,3.00522,-115.49541,-2.05232,8.63994,23.28349,-34.52391,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,04ce5b40-35c8-11f1-a2fe-996ba5106920,78.99838,6.90883,,6.51573,,,,2.38661,1.79026,0.3357,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:01:00.95,2026-04-11T12:01:00.9593344-05:00,2026-04-11T17:01:00.9593344Z,GroundBall,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,188e8f50-9c07-4d11-acf6-b5a788ceacbd,54.29042,-116.35713,11.64174,6.12961,-0.7746,-17.26196,-1.77289,2.68546,4.31997,328.64943,2.4638,-64.4736,1.65364,,,,,,,1.86404,22.02119,-24.07217,,,,,,,0.32515,46.46995,-6.28738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
6,2026-04-11,12:01:20.27,2,5,"Harrell, Logan",10047114,Right,TNU,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.85043,-3.727781,-4.100228,2324.270656,217.351849,1:15,6.24718,1.52148,6.5929,-16.32804,17.07025,12.14568,1.45731,-1.22967,82.61199,-6.868816,-1.898422,0.415943,,,,,,,,,,,,-7.58556,10.42178,-1.24536,50,5.98436,8.94473,-131.47072,-8.99815,-13.18499,29.66752,-14.05919,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,105e1a90-35c8-11f1-a2fe-996ba5106920,90.61929,,,8.23844,,,,,,,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:01:20.27,2026-04-11T12:01:20.2732032-05:00,2026-04-11T17:01:20.2732032Z,,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,6ffe2527-7ea5-4878-8a14-32dfa3e7a2d9,53.90534,-132.34906,14.83376,6.2446,-8.58191,-7.02959,-1.51596,9.33509,-6.59249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
7,2026-04-11,12:01:35.96,2,6,"Harrell, Logan",10047114,Right,TNU,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,1,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.19128,0.372954,-0.613972,2460.755043,81.031803,8:45,6.17037,1.51387,6.27378,-45.03558,-1.23071,-16.16969,2.76123,-0.3996,73.00665,-7.954361,-3.540724,0.476357,89.92714,53.973419,-40.867476,5060.21467,71.52872,135.84787,-83.56789,217.88423,83.57988,-54.514516,6.009504,8.29536,-0.39504,-1.46066,50,6.17593,1.79447,-115.21177,-0.58762,11.13813,21.61466,-32.70444,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,19add4f0-35c8-11f1-a2fe-996ba5106920,79.12645,140.89817,,6.18463,,,,1.29591,2.63222,0.59563,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:01:35.96,2026-04-11T12:01:35.9686656-05:00,2026-04-11T17:01:35.9686656Z,FlyBall,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,cd69c796-cd0a-456d-b504-7bdc915412a8,54.2286,-116.00237,10.80733,6.17554,0.60862,-16.35222,-1.51885,1.38706,5.56907,162.926825,1.29847,58.58855,-21.77144,6.35776,-1.15974,0.08757,0.01021,-0.00249,0.00013,2.6244,106.79123,-25.1564,2.34573,-0.29651,-0.0019,0.01348,-0.00266,0.00016,0.5937,-50.72193,9.3225,-2.02866,0.28168,-0.01544,-0.00135,0.00018,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
8,2026-04-11,12:02:14.68,2,7,"Harrell, Logan",10047114,Right,TNU,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,1,2,2,Cutter,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,87.16935,-1.122598,-2.152195,2284.317434,151.544627,11:00,6.36773,1.39087,6.70898,-29.69986,5.88528,-2.60158,2.86558,-0.79446,80.14815,-6.69427,-2.626289,0.429344,,,,,,,,,,,,0.77429,3.78024,-1.24729,50,6.28187,4.85901,-126.7206,-3.35415,1.26031,25.65058,-26.02098,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,30c6c3e0-35c8-11f1-a2fe-996ba5106920,87.7907,,,7.0212,,,,,,,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:02:14.68,2026-04-11T12:02:14.6840000-05:00,2026-04-11T17:02:14.6840000Z,,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,5317be7c-bd38-4c10-ae60-b2118b997639,53.78956,-127.48537,12.82529,6.37031,-2.57834,-13.01049,-1.3916,4.82143,0.63015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.46097,2.840714,1.864909,0.975806,-2.15722,2.4324,0.9594,2.77325,5.96788,2.21687,68.35371,7.14217,-56.43303,2.80136,71.23126,-4.16002,5.99086,13.93837,-13.07969,2.14025,-67.94904,8.13606,High,High,High,,,High,High,High,,,
9,2026-04-11,12:02:43.87,3,1,"Harrell, Logan",10047114,Right,TNU,"Lang, Levi",10073928,Right,DEL_STA,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.90986,0.564603,-1.530435,2350.577853,60.543512,8:00,6.2072,1.65309,6.12493,-46.7401,-2.55213,-6.77575,2.83433,-0.32666,73.0401,-8.037977,-2.752955,0.478435,,,,,,,,,,,,3.09595,-1.05543,-1.53259,50,6.22626,3.30983,-114.76415,-0.3109,4.14946,20.25465,-33.58862,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,423b4d30-35c8-11f1-a2fe-996ba5106920,78.7827,,,5.86977,,,,,,,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:02:43.87,2026-04-11T12:02:43.8726144-05:00,2026-04-11T17:02:43.8726144Z,,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,e79e7598-757c-4967-87df-72c781f22cf4,54.37642,-115.53396,10.12733,6.21381,0.96569,-16.79431,-1.65539,3.15212,2.07473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-11,12:03:06.30,3,2,"Harrell, Logan",10047114,Right,TNU,"Lang, Levi",10073928,Right,DEL_STA,Undefined,1,Top,2,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.65135,-1.724857,-3.567135,2353.599962,149.377646,11:00,6.31173,1.54179,6.46093,-31.21159,5.05075,-2.3728,2.12282,-1.9368,80.2358,-7.515172,-3.996586,0.43341,,,,,,,,,,,,0.3215,3.42343,-1.28857,50,6.17579,7.9316,-125.81828,-4.75191,0.5189,23.88303,-26.6486,TNU,DEL_STA,TreveccaNazareneBC,D2,Team,20260411-TreveccaNazareneBC-1,4f89ac70-35c8-11f1-a2fe-996ba5106920,86.96708,,,6.41555,,,,,,,6844cb66-b5f2-49a9-9c22-a8a34c6106f5,2026-04-11,17:03:06.30,2026-04-11T12:03:06.3096832-05:00,2026-04-11T17:03:06.3096832Z,,v3,643-145999,643-144769,8304,"Dymond, Luke",1000222320,Right,TNU,94f5145b-92c6-4f45-a56d-5f8c22975bf5,54.03937,-126.58271,11.94152,6.31423,-3.89896,-13.3243,-1.54217,7.91499,0.25945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
