PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-14,18:05:14.22,1,1,"Towers, Ryan",813723,Left,ECU_PIR,"Johnson, Rett",10957606,Left,NOR_WOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.47549,-4.694449,2.86215,2464.11671,145.521834,10:45,6.23762,-1.12281,4.95226,-14.06721,23.39663,-15.15796,0.61407,0.32073,80.45896,-7.361306,0.192469,0.440532,,,,,,,,,,,,8.32142,13.31666,0.85826,50,5.77027,-5.67447,-127.71812,-10.92821,13.68132,27.44069,-10.27999,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,043b0f60-384e-11f1-a1d3-b7f3e3ee3a7b,85.56113,,,8.01653,,,,,,,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:05:14.22,2026-04-14T18:05:14.2276608-04:00,2026-04-14T22:05:14.2276608Z,,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,fa025bc5-c156-480f-89d3-9fe47349ff7c,55.5465,-128.9043,13.72035,6.23305,-10.48383,-5.14,1.11633,-6.26587,6.84066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026-04-14,18:05:28.87,1,2,"Towers, Ryan",813723,Left,ECU_PIR,"Johnson, Rett",10957606,Left,NOR_WOL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.57939,-2.893999,2.631622,2392.153942,145.774076,10:45,6.13507,-1.39261,4.64721,-13.80005,23.05104,-14.80174,2.22988,-0.1237,81.22349,-5.514524,0.038954,0.436915,88.22519,27.697822,-17.563772,5179.631121,101.8315,50.40188,-41.59705,274.78122,257.61679,-30.125132,4.156011,8.04512,12.51572,1.13777,50,5.82732,-5.23389,-129.53161,-7.00377,13.58517,28.59911,-11.03977,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,0d037150-384e-11f1-a1d3-b7f3e3ee3a7b,86.2696,58.9565,,8.3559,,,,0.86927,2.30403,0.12351,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:05:28.87,2026-04-14T18:05:28.8795648-04:00,2026-04-14T22:05:28.8795648Z,FlyBall,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,2bb56327-6666-400c-b2a1-d2b1682621d8,55.85201,-130.81728,14.29955,6.13102,-6.50747,-5.51989,1.38679,-5.84461,6.79259,142.448068,0.86904,109.23033,-25.74301,6.07749,-1.27386,0.25666,-0.05031,0.00698,-0.00042,2.30442,60.13889,-17.15839,0.64996,0.00477,-0.01884,0.00573,-0.00032,-4E-05,0.12393,-34.58817,-1.82727,1.25768,-0.25601,0.00505,0.00856,-0.00176,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,
3,2026-04-14,18:06:02.80,2,1,"Towers, Ryan",813723,Left,ECU_PIR,"Nixon, Luke",823352,Left,NOR_WOL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.0586,-0.24924,2.153076,2420.304593,149.660202,11:00,6.18076,-1.53636,4.58266,-14.02509,22.68663,-12.49764,4.77472,-0.52854,80.91037,-2.933831,-0.033993,0.436088,,,,,,,,,,,,6.6967,11.45131,1.32581,50,6.1433,-4.25641,-130.24487,-1.00593,11.35825,30.57363,-12.75149,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,2145e7b0-384e-11f1-a1d3-b7f3e3ee3a7b,86.43318,,,9.14823,,,,,,,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:06:02.80,2026-04-14T18:06:02.8036608-04:00,2026-04-14T22:06:02.8036608Z,,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,7d50281a-3674-4802-9419-3f79d8ac12d6,55.91208,-131.62535,15.28681,6.17572,-0.43017,-6.37574,1.52958,-4.76926,5.67912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-14,18:06:17.82,2,2,"Towers, Ryan",813723,Left,ECU_PIR,"Nixon, Luke",823352,Left,NOR_WOL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.77908,-4.946713,2.159043,2431.924816,143.863616,10:45,6.17632,-1.41373,4.73499,-15.05434,21.46513,-14.7708,0.21385,-0.5954,82.05194,-7.75398,-0.4346,0.434944,,,,,,,,,,,,7.83559,12.26698,1.20996,50,5.66397,-4.16972,-129.63864,-11.73788,13.33397,27.11253,-11.29912,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,2a2e7bd0-384e-11f1-a1d3-b7f3e3ee3a7b,86.6604,,,7.72714,,,,,,,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:06:17.82,2026-04-14T18:06:17.8215936-04:00,2026-04-14T22:06:17.8215936Z,,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,c0f3537d-ddd3-4498-b5ff-c217624a36f3,55.76406,-130.83858,13.55627,6.1724,-11.23781,-5.64956,1.40757,-4.75985,6.66699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026-04-14,18:06:33.38,2,3,"Towers, Ryan",813723,Left,ECU_PIR,"Nixon, Luke",823352,Left,NOR_WOL,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.28583,-3.730343,3.377889,2544.077505,151.189412,11:00,6.10818,-1.44219,4.87995,-10.5713,25.83808,-13.44044,1.68658,0.63751,81.06204,-5.813018,1.016861,0.434288,,,,,,,,,,,,7.67918,14.29485,1.12201,50,5.73305,-7.02686,-130.23359,-8.76377,12.98637,31.26451,-7.99982,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,33755c90-384e-11f1-a1d3-b7f3e3ee3a7b,86.79129,,,9.22379,,,,,,,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:06:33.38,2026-04-14T18:06:33.3810688-04:00,2026-04-14T22:06:33.3810688Z,,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,f6800f5b-a96f-464d-99bb-273546da304c,55.61649,-131.575,15.63225,6.1017,-8.42054,-3.99991,1.43545,-7.58405,6.49319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026-04-14,18:06:50.20,2,4,"Towers, Ryan",813723,Left,ECU_PIR,"Nixon, Luke",823352,Left,NOR_WOL,Undefined,1,Top,1,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.78377,0.062353,2.452991,2083.707556,319.291333,4:45,5.98653,-1.37523,4.88023,-59.42696,-12.05788,11.75146,1.09334,1.92639,72.11711,-10.577393,4.526118,0.495358,,,,,,,,,,,,-4.99453,-5.43414,1.12385,50,5.94246,-5.38751,-114.13149,-2.11571,-6.49707,23.70656,-39.24301,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,3d877c90-384e-11f1-a1d3-b7f3e3ee3a7b,76.09136,,,6.66666,,,,,,,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:06:50.20,2026-04-14T18:06:50.2021632-04:00,2026-04-14T22:06:50.2021632Z,,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,19b33ebc-9404-4c44-9c15-6f2624416cda,55.62157,-115.29325,11.85328,5.99903,-0.19257,-19.62151,1.38006,-5.06912,-3.24854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
7,2026-04-14,18:07:06.08,2,5,"Towers, Ryan",813723,Left,ECU_PIR,"Nixon, Luke",823352,Left,NOR_WOL,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.38057,-1.597712,2.283783,2493.39036,147.387049,11:00,6.24202,-1.52053,4.70057,-12.36213,24.11879,-14.54068,3.69355,-0.56312,80.90772,-4.000158,-0.266244,0.434715,89.43938,72.336479,74.878561,,,,,,22.92188,,,7.91902,12.75745,1.30302,50,6.07057,-4.49723,-130.66364,-4.01334,13.43487,32.32749,-10.53071,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,46e36bf0-384e-11f1-a1d3-b7f3e3ee3a7b,86.70613,77.58028,,9.47285,,,,2.99162,3.80244,0.55682,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:07:06.08,2026-04-14T18:07:06.0850176-04:00,2026-04-14T22:07:06.0850176Z,,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,1c4610c8-af9b-4acc-976f-d6c9a2b22e48,55.79728,-132.09016,16.16374,6.23742,-3.54865,-5.26535,1.51455,-5.09007,6.71743,,2.99162,10.38313,-8.62078,2.85124,-0.75504,0.30568,-0.34412,0.31933,-0.12081,3.80244,124.99319,-29.89569,3.87389,-0.74668,0.10523,0.07832,-0.11211,0.04592,0.55682,38.42452,-13.70696,4.09895,-1.02434,0.38967,-0.41511,0.38057,-0.14352,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,,,,
8,2026-04-14,18:07:38.66,2,6,"Towers, Ryan",813723,Left,ECU_PIR,"Nixon, Luke",823352,Left,NOR_WOL,Undefined,1,Top,1,3,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.90011,-0.496093,2.282643,1499.05926,106.307102,9:30,5.94113,-1.69341,5.88186,-34.08892,5.69677,-15.10123,2.6393,-0.83089,76.76414,-6.806262,-0.428337,0.453978,77.0479,79.866165,55.198664,3310.993328,,,,,6.02311,,,8.46685,3.40095,1.51814,50,5.88117,-4.27223,-121.83603,-2.16407,12.68598,24.65129,-27.07839,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,5a563640-384e-11f1-a1d3-b7f3e3ee3a7b,83.02701,26.31295,,7.13597,,,,2.25523,2.89619,0.84498,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:07:38.66,2026-04-14T18:07:38.6612224-04:00,2026-04-14T22:07:38.6612224Z,,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,57c78286-8cf3-4fc9-83d4-933a99bd99d9,54.61986,-122.76722,12.32564,5.9436,-1.1412,-13.5392,1.68858,-4.75144,6.34299,187.160287,2.2574,11.21805,-10.73581,,,,,,,2.89776,111.14733,-26.72647,,,,,,,0.84555,16.29201,-3.61189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,
9,2026-04-14,18:08:12.97,2,7,"Towers, Ryan",813723,Left,ECU_PIR,"Nixon, Luke",823352,Left,NOR_WOL,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Double,0,0,,89.37917,-2.270184,2.321282,2388.295017,138.489743,10:30,6.09353,-1.40974,4.99131,-16.22812,20.17753,-16.76544,2.59475,-0.61387,81.27278,-5.327632,-0.635745,0.434266,103.92038,3.676567,30.44818,2444.595706,,,,86.68539,85.86705,32.696725,0.604102,9.05615,11.04615,1.2008,50,5.86241,-4.47317,-129.45965,-5.67991,15.29936,28.17393,-13.51279,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,6ed98630-384e-11f1-a1d3-b7f3e3ee3a7b,86.79571,3.74729,,8.10639,,,,2.05583,2.80684,0.66797,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:08:12.97,2026-04-14T18:08:12.9790976-04:00,2026-04-14T22:08:12.9790976Z,GroundBall,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,1f9687e6-4d05-453e-824b-a0d0aca69dfa,55.5093,-130.65312,14.08697,6.0909,-5.1075,-6.75639,1.40401,-5.12126,7.64968,299.419661,2.08926,130.38046,-21.7415,,,,,,,2.84051,9.02042,-22.80148,,,,,,,0.65452,77.38409,-1.54395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,
10,2026-04-14,18:08:58.75,3,1,"Towers, Ryan",813723,Left,ECU_PIR,"McHugh, Chris",824569,Right,NOR_WOL,Undefined,1,Top,1,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,75.15625,0.731369,0.844644,2266.910993,335.330013,5:15,6.12271,-1.58231,4.75314,-66.97634,-14.62961,7.55827,1.23508,-0.15136,68.6505,-11.252642,2.178328,0.520734,,,,,,,,,,,,-3.42803,-6.85492,1.49046,50,6.13683,-1.91533,-108.92166,-1.05671,-4.05035,22.07365,-40.27344,ECU_PIR,NOR_WOL,ClarkLeClair,D1,AMER,20260414-ClarkLeClair-1,895eec20-384e-11f1-8725-cdeeee8f5fbc,72.38324,,,6.50575,,,,,,,b9a2f1da-4b05-41f0-bd42-c249550af4a0,2026-04-14,22:08:58.75,2026-04-14T18:08:58.7530000-04:00,2026-04-14T22:08:58.7530000Z,,v3,471285,471387,fd6f929dbc8f4f0d8fa8a9ef143f61ba,"Kalinich, Michael",813923,Right,ECU_PIR,97fab02e-30c3-4437-9004-22f51338014d,55.74942,-110.08065,11.03683,6.1368,1.05787,-20.13672,1.58544,-1.70266,-2.02518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
