PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-12,13:06:55.55,1,1,"Valdez, Adrian",1000276503,Right,SAN_DON,"Moran, CJ",10183259,Left,SAN_TOR,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,87.8516,-0.938085,-3.121099,2298.45286,258.322495,2:30,5.36961,2.56351,5.9302,-31.60868,4.65713,16.86721,1.86382,1.07047,80.32269,-6.790066,-0.092685,0.433431,76.20686,-8.177985,11.564665,,,,,13.96091,13.96091,5.514988,0.113078,-9.5778,2.99248,-2.32371,50,5.27662,6.26125,-127.48374,-3.1664,-15.7188,26.88082,-27.26291,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,2825f600-36ab-11f1-a1e6-91aa23520efa,86.96291,1.90571,,7.5289,,,,1.78707,1.90571,-1.1106,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:06:55.55,2026-04-12T13:06:55.5570000-07:00,2026-04-12T20:06:55.5570000Z,GroundBall,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,37d75af9-5cc2-40e0-9e63-b575e35f1887,54.56968,-128.44368,13.44041,5.37231,-2.19282,-13.63146,-2.55733,6.82258,-7.8594,161.024471,1.78719,108.37314,-11.3938,,,,,,,1.9057,-15.89729,-8.44936,,,,,,,-1.11055,22.17304,-4.30624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
2,2026-04-12,13:07:38.93,2,1,"Valdez, Adrian",1000276503,Right,SAN_DON,"Brant, Phoenix",1000290664,Left,SAN_TOR,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.59648,-2.352283,-3.927414,2301.615081,264.676326,2:45,5.45021,2.59329,5.63855,-33.2677,2.88772,18.39029,0.47707,0.45619,81.19767,-8.442851,-0.644138,0.432771,,,,,,,,,,,,-10.48623,2.46906,-2.27126,50,5.22845,8.02452,-128.32096,-6.49218,-17.44687,27.08716,-28.06609,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,41fe04f0-36ab-11f1-a1e6-91aa23520efa,87.09559,,,7.39881,,,,,,,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:07:38.93,2026-04-12T13:07:38.9370000-07:00,2026-04-12T20:07:38.9370000Z,,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,47f162d0-c4b6-4951-b69a-24c51bf998a6,54.86174,-129.34315,13.54358,5.45346,-5.43305,-14.03305,-2.58651,8.68291,-8.72344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-12,13:07:58.45,2,2,"Valdez, Adrian",1000276503,Right,SAN_DON,"Brant, Phoenix",1000290664,Left,SAN_TOR,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.40176,-1.554705,-2.288117,2288.016647,240.178618,2:00,5.39417,2.6553,5.79856,-25.00781,10.88379,16.99847,1.86264,1.94252,80.94784,-6.208235,0.757816,0.431189,,,,,,,,,,,,-9.26563,6.33504,-2.47722,50,5.2514,4.39822,-128.30589,-4.32146,-15.45091,26.46228,-21.61004,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,4da5e020-36ab-11f1-a1e6-91aa23520efa,87.41509,,,7.45392,,,,,,,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:07:58.45,2026-04-12T13:07:58.4530000-07:00,2026-04-12T20:07:58.4530000Z,,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,f602efc5-8299-478c-9c0c-9b511645f0e9,54.69967,-129.27153,13.23114,5.39471,-3.53288,-10.80502,-2.64801,4.96204,-7.72545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-12,13:08:18.31,2,3,"Valdez, Adrian",1000276503,Right,SAN_DON,"Brant, Phoenix",1000290664,Left,SAN_TOR,Undefined,1,Top,0,2,0,Sinker,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,86.95467,-0.857875,-3.594663,2301.556308,244.277201,2:15,5.40147,2.66169,5.84359,-27.31525,9.64296,17.65277,2.32634,0.78778,79.80513,-5.930867,-0.434498,0.437549,77.03441,-30.876805,34.600662,,,,,5.68023,5.68023,14.021613,0.040323,-10.05949,5.49284,-2.37957,50,5.31538,7.21405,-126.18005,-2.79502,-16.2752,24.82644,-23.2872,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,5973b9e0-36ab-11f1-a1e6-91aa23520efa,86.14448,2.34456,,7.14954,,,,2.28342,2.34456,-0.85035,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:08:18.31,2026-04-12T13:08:18.3130000-07:00,2026-04-12T20:08:18.3130000Z,GroundBall,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,dd866a64-82ca-49c1-b807-c63e503abeef,54.65706,-127.09305,12.41322,5.40242,-1.93863,-11.6436,-2.65587,7.81257,-8.1376,180,2.28197,80.04307,,,,,,,,2.34562,-58.14489,,,,,,,,-0.85135,55.21938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
5,2026-04-12,13:08:58.10,3,1,"Valdez, Adrian",1000276503,Right,SAN_DON,"Gauna, Andrew",822686,Right,SAN_TOR,Undefined,1,Top,1,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.87428,-1.225892,-3.911257,2346.717509,260.174433,2:45,5.48308,2.58024,5.8854,-32.19907,4.42973,18.23469,1.65864,0.4622,79.78993,-7.190689,-0.643327,0.435595,,,,,,,,,,,,-10.58902,2.99284,-2.27513,50,5.36538,7.95173,-127.30547,-3.83221,-17.20066,28.61864,-27.31254,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,712d2e90-36ab-11f1-a1e6-91aa23520efa,86.53094,,,8.08435,,,,,,,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:08:58.10,2026-04-12T13:08:58.1050000-07:00,2026-04-12T20:08:58.1050000Z,,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,a8ef8eb7-9137-43ba-a44c-f727d0433072,54.61405,-128.33853,14.30932,5.48592,-2.8463,-13.65627,-2.57337,8.57263,-8.60033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
6,2026-04-12,13:09:24.75,3,2,"Valdez, Adrian",1000276503,Right,SAN_DON,"Gauna, Andrew",822686,Right,SAN_TOR,Undefined,1,Top,1,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.74836,0.366771,-4.255638,2153.89182,247.725581,2:15,5.45291,2.63341,6.03212,-28.18954,8.87422,18.76655,3.44436,0.24919,79.13051,-4.898138,-0.889723,0.438174,61.72747,46.282873,73.783397,4402.705409,15.73318,64.99793,108.86879,169.17488,58.67013,88.637522,4.246152,-10.85485,4.81477,-2.31064,50,5.46634,8.60293,-125.76906,-0.09585,-17.37711,25.63458,-24.46624,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,8118a6e0-36ab-11f1-a1e6-91aa23520efa,86.02172,65.92303,,7.61785,,,,0.76038,3.3877,-0.23923,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:09:24.75,2026-04-12T13:09:24.7560000-07:00,2026-04-12T20:09:24.7560000Z,Popup,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,61d9d0b9-2428-4cb7-80ea-ac32f015a8bb,54.46743,-126.67635,12.81729,5.4544,0.77009,-12.23312,-2.62601,9.21796,-8.68855,,0.76106,17.50479,-6.67857,2.18854,-1.82324,1.16011,-0.41948,0.07655,-0.00542,3.37564,65.7417,-20.77873,4.51188,-3.25463,1.61482,-0.45134,0.06502,-0.00376,-0.25066,60.34332,-8.08846,3.19884,-2.06263,0.86963,-0.20496,0.02392,-0.00104,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
7,2026-04-12,13:09:53.04,3,3,"Valdez, Adrian",1000276503,Right,SAN_DON,"Gauna, Andrew",822686,Right,SAN_TOR,Undefined,1,Top,1,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78985,-1.062956,-4.931502,2320.260394,140.633944,10:45,5.4208,2.41896,5.4462,-36.64671,3.73473,-2.12374,1.3679,-2.38659,77.70008,-7.712417,-5.307276,0.457364,,,,,,,,,,,,-0.1713,2.49957,-1.98084,50,5.30117,10.55577,-121.32971,-3.55472,-0.2577,21.71353,-28.41416,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,91f66e70-36ab-11f1-a1e6-91aa23520efa,82.41229,,,6.08977,,,,,,,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:09:53.04,2026-04-12T13:09:53.0460000-07:00,2026-04-12T20:09:53.0460000Z,,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,42ce5de5-382c-4618-912d-53fd1bc06dc3,55.05353,-122.23076,10.85677,5.42421,-2.37561,-14.20708,-2.4191,10.56646,-0.12885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026-04-12,13:10:13.92,3,4,"Valdez, Adrian",1000276503,Right,SAN_DON,"Gauna, Andrew",822686,Right,SAN_TOR,Undefined,1,Top,1,1,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,1,,87.95151,-1.044638,-3.86549,2248.768818,250.88672,2:15,5.51109,2.55461,6.06247,-29.45734,5.92221,14.38662,2.08719,0.17056,81.86466,-6.480739,-1.280197,0.428102,100.67774,5.560579,-9.875134,3636.417244,,,,124.24292,124.24292,-9.608923,0.940842,-8.35343,3.57567,-2.26221,50,5.41382,8.07115,-127.78525,-3.31315,-14.05715,21.95698,-26.15694,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,9e5febf0-36ab-11f1-a1e6-91aa23520efa,88.0454,4.86445,,6.08685,,,,1.2565,2.09919,-0.27509,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:10:13.92,2026-04-12T13:10:13.9230000-07:00,2026-04-12T20:10:13.9230000Z,LineDrive,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,bc0c905b-3f33-4eb8-b257-afc88e32f764,54.43944,-128.5458,10.97849,5.51289,-2.40712,-13.07847,-2.55022,8.55806,-7.02858,323.909471,1.35245,143.39094,-15.64358,,,,,,,2.15837,13.4495,-16.7945,,,,,,,-0.29846,-24.86371,3.35905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,
9,2026-04-12,13:11:09.53,4,1,"Valdez, Adrian",1000276503,Right,SAN_DON,"Lobliner, Jayden",813488,Right,SAN_TOR,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.45191,-0.914794,-2.649844,2282.947435,252.734253,2:30,5.46387,2.58192,5.91238,-30.21639,5.54811,14.97725,2.09582,1.3689,81.7756,-6.466979,0.039097,0.430425,,,,,,,,,,,,-8.25835,3.34051,-2.37783,50,5.37297,5.284,-127.23348,-3.06776,-13.83917,20.64802,-26.57607,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,bf897440-36ab-11f1-a1e6-91aa23520efa,87.57027,,,5.67632,,,,,,,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:11:09.53,2026-04-12T13:11:09.5300000-07:00,2026-04-12T20:11:09.5300000Z,,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,9761e1ab-1e8d-4c13-b6da-f798a476c6b1,54.58926,-127.97608,10.32401,5.46611,-2.11197,-13.28804,-2.57682,5.78172,-6.91958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-12,13:11:49.11,4,2,"Valdez, Adrian",1000276503,Right,SAN_DON,"Lobliner, Jayden",813488,Right,SAN_TOR,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.95617,-2.07048,-5.31957,2238.810748,259.790206,2:45,5.28524,2.48986,5.81612,-35.354,4.48465,18.12316,0.40477,-0.96026,77.45476,-8.551498,-2.084235,0.45428,,,,,,,,,,,,-10.69898,3.18803,-2.06424,50,5.09374,10.60286,-121.50646,-5.58888,-16.08403,22.56558,-27.38138,SAN_DON,SAN_TOR,BenedettiDiamond,D1,WCC,20260412-BenedettiDiamond-1,d71dfbd0-36ab-11f1-a1e6-91aa23520efa,82.97178,,,6.50141,,,,,,,871a168a-cce2-451c-9de2-630d7ad9fbcf,2026-04-12,20:11:49.11,2026-04-12T13:11:49.1110000-07:00,2026-04-12T20:11:49.1110000Z,,v3,471434,5320,7898d3c3304643f9b7993e27514d662f,"Burke, Brendan",832137,Right,SAN_DON,b9093c3a-42d8-4af3-b41c-44e661ef92e7,54.68495,-122.37343,11.28279,5.28826,-4.53689,-13.69069,-2.48347,11.22081,-8.04201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
