PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-11,14:01:44.70,1,1,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,0,0,Fastball,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.47804,-0.455078,2.363953,2191.713554,144.082643,10:45,6.03976,-1.48677,5.27141,-20.47351,20.59844,-13.96954,3.90578,-0.42905,76.18217,-4.30322,-0.112452,0.461258,,,,,,,,,,,,7.61859,10.81048,1.28117,50,5.98354,-4.39745,-121.06225,-1.5942,11.31388,23.49047,-16.12006,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,80a06120-35d0-11f1-825d-038fcf370b52,81.71657,,,7.29587,,,,,,,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:01:44.70,2026-04-11T14:01:44.7066112-04:00,2026-04-11T18:01:44.7066112Z,,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,4b6de028-4303-455b-b5a4-b5a6c0f16af7,55.22857,-122.07257,11.74523,6.0372,-0.90088,-8.06003,1.48077,-4.88406,5.65694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
2,2026-04-11,14:01:55.06,1,2,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.71805,-1.217647,2.640918,2088.594016,136.285049,10:30,5.91137,-1.59269,5.05399,-23.56678,18.30225,-16.30217,2.79765,-0.45865,76.1874,-5.572378,-0.237102,0.465713,,,,,,,,,,,,8.79563,9.78434,1.35482,50,5.77701,-4.84086,-120.00773,-3.34486,12.93944,21.31723,-17.78009,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,86d03de0-35d0-11f1-825d-038fcf370b52,80.93498,,,6.53064,,,,,,,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:01:55.06,2026-04-11T14:01:55.0684672-04:00,2026-04-11T18:01:55.0684672Z,,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,e7a4ead0-30c7-4cdd-a1f6-e3cea30b3e5c,55.44843,-120.97168,10.65862,5.91008,-2.54086,-8.89004,1.58695,-5.42596,6.46972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-11,14:02:06.36,1,3,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,1,1,Fastball,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.12248,-2.366691,4.093455,2194.223495,132.528877,10:30,5.94319,-1.57421,5.09006,-23.4843,17.16363,-17.33918,1.74853,0.84561,77.39487,-6.697146,1.036017,0.458871,,,,,,,,,,,,9.68658,9.52339,1.20075,50,5.70059,-7.96323,-121.77868,-5.84739,14.65505,22.24061,-17.76591,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,8d8ca330-35d0-11f1-825d-038fcf370b52,82.14171,,,6.72761,,,,,,,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:02:06.36,2026-04-11T14:02:06.3632896-04:00,2026-04-11T18:02:06.3632896Z,,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,789e3bf4-8701-4815-b91c-efb346e15fdc,55.4122,-122.76314,11.12031,5.94202,-5.06099,-8.88295,1.5676,-8.61192,7.32752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-11,14:02:18.14,1,4,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.80813,-1.402254,3.362696,2104.571738,135.42072,10:30,6.03782,-1.43256,5.13253,-23.0121,17.75017,-16.27099,2.79699,0.38209,77.08328,-5.662025,0.488714,0.459516,,,,,,,,,,,,8.95583,9.57008,1.12982,50,5.88856,-6.4345,-121.49368,-3.75042,13.49319,22.01946,-17.75546,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,948f8760-35d0-11f1-825d-038fcf370b52,82.02639,,,6.72485,,,,,,,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:02:18.14,2026-04-11T14:02:18.1413376-04:00,2026-04-11T18:02:18.1413376Z,,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,494f8734-7774-44cf-a890-8a8285773b21,55.36923,-122.46293,11.00973,6.03644,-2.96886,-8.87773,1.42613,-7.02844,6.74659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
5,2026-04-11,14:02:30.29,1,5,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,2,2,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.99375,0.409805,2.982115,1175.309058,130.17767,10:15,5.74108,-1.70952,4.67999,-39.1075,12.64556,-13.12977,2.87185,0.03094,69.09626,-6.680553,0.681208,0.517773,34.93236,-51.980923,94.019565,,,,,4.5806,4.11716,32.69885,0.076921,7.27508,6.52422,1.41867,50,5.7478,-5.14337,-108.71743,-0.55266,8.76843,17.8041,-24.31063,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,9bd39340-35d0-11f1-825d-038fcf370b52,72.79724,3.16292,,5.8975,,,,4.02802,3.16292,0.00778,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:02:30.29,2026-04-11T14:02:30.2947840-04:00,2026-04-11T18:02:30.2947840Z,GroundBall,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,57477ce5-51c2-4b57-881b-6390d84de74d,55.82286,-109.66687,8.90205,5.74271,0.74374,-12.15532,1.70542,-5.61096,4.38421,180,4.02853,-2.25347,,,,,,,,3.17228,-41.11914,,,,,,,,0.00047,32.06876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,
6,2026-04-11,14:02:58.24,1,6,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Shultz, Taylor",1000078065,Right,FLA_COL,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,85.38541,-0.912042,2.635917,2225.509031,134.359754,10:30,6.00732,-1.50168,5.21227,-21.54379,18.43103,-17.33403,3.35335,-0.46565,76.79255,-4.972021,-0.432872,0.455056,81.14269,45.305291,-17.770844,,104.36628,98.42449,-34.75136,237.83836,112.47828,-19.679106,5.402758,9.54737,9.92012,1.27169,50,5.90754,-4.92918,-123.59852,-2.66506,14.53079,28.34117,-17.07594,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,ac7192b0-35d0-11f1-825d-038fcf370b52,82.83036,106.20492,,8.59286,,,,2.68388,3.5548,0.39786,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:02:58.24,2026-04-11T14:02:58.2411776-04:00,2026-04-11T18:02:58.2411776Z,FlyBall,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,38e1d649-5603-489b-bd2b-866490c34138,55.2877,-124.8051,14.17059,6.00552,-1.93808,-8.53797,1.49471,-5.5478,7.2654,175.754156,2.68902,79.60523,-20.19376,5.09981,-0.7615,0.02265,0.01352,-0.00215,0.0001,3.55184,84.64726,-19.50816,0.87051,0.08236,-0.08445,0.02546,-0.00355,0.00018,0.39631,-25.51642,5.10416,-1.1437,0.12926,0.01031,-0.00573,0.00071,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
7,2026-04-11,14:03:33.57,2,1,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Hunerberg, Anthony",1000218533,Right,FLA_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.36567,3.863037,-0.044891,1922.981283,286.482425,3:30,5.7651,-1.62066,4.3078,-61.87661,0.28831,5.95114,4.30806,-1.16765,63.15024,-7.238242,0.991202,0.567472,,,,,,,,,,,,-2.86118,-0.32587,1.61907,50,6.12134,-0.15967,-100.26587,4.63539,-2.90047,16.84515,-32.50438,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,c1925b20-35d0-11f1-825d-038fcf370b52,66.42172,,,6.21543,,,,,,,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:03:33.57,2026-04-11T14:03:33.5755776-04:00,2026-04-11T18:03:33.5755776Z,,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,7d42aacc-f35a-4f5f-8a78-cc8dabbd2f66,56.19222,-101.30085,8.42258,5.77518,6.63249,-16.25219,1.62341,0.01854,-1.45023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026-04-11,14:03:46.44,2,2,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Hunerberg, Anthony",1000218533,Right,FLA_COL,Undefined,1,Top,1,1,0,Fastball,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.72203,-1.337716,3.385281,2170.58199,144.392928,10:45,5.96333,-1.44617,5.18777,-19.53123,20.78281,-13.89209,3.07475,0.5848,76.89295,-5.018116,0.930126,0.456983,,,,,,,,,,,,7.85516,11.1241,1.14219,50,5.82463,-6.63191,-122.62262,-3.47289,11.90337,25.32161,-15.31706,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,c931a660-35d0-11f1-825d-038fcf370b52,82.48114,,,7.82908,,,,,,,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:03:46.44,2026-04-11T14:03:46.4438784-04:00,2026-04-11T18:03:46.4438784Z,,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,d918eed7-d694-4678-8d9c-980f6e88d1ea,55.31064,-123.71441,12.6608,5.96013,-2.81247,-7.65853,1.43921,-7.14515,5.95168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
9,2026-04-11,14:04:00.05,2,3,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Hunerberg, Anthony",1000218533,Right,FLA_COL,Undefined,1,Top,1,1,1,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,75.58433,-0.740467,3.573249,1415.92018,148.903845,11:00,5.68802,-1.70999,4.88437,-41.07219,9.54268,-4.84319,1.56337,1.2715,69.92705,-8.163382,2.721799,0.512048,,,,,,,,,,,,3.29965,5.37099,1.36302,50,5.58071,-6.64435,-109.50803,-2.81688,4.03905,17.8817,-25.59952,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,d1598290-35d0-11f1-825d-038fcf370b52,73.61119,,,5.65728,,,,,,,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:04:00.05,2026-04-11T14:04:00.0566784-04:00,2026-04-11T18:04:00.0566784Z,,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,2ccce764-d2ba-4694-a29a-f63eb4be8dee,55.61629,-110.42131,8.94085,5.69119,-1.50942,-12.79976,1.70764,-6.85064,2.01952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-11,14:04:17.04,2,4,"Nutt, Johnny",1000148059,Left,GEO_SOU,"Hunerberg, Anthony",1000218533,Right,FLA_COL,Undefined,1,Top,1,1,2,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.53539,-2.049994,3.381122,1343.255806,133.13788,10:30,5.62199,-1.65109,4.87469,-36.17026,10.69957,-9.92292,0.66373,0.72521,72.74565,-8.584119,1.634918,0.49274,,,,,,,,,,,,5.76953,6.22107,1.3271,50,5.38947,-6.31412,-113.77724,-5.34909,7.6309,19.11856,-23.94593,GEO_SOU,FLA_COL,SusanKSmithBaseballComplex,D2,NCAAPB,20260411-SusanKSmithBaseballComplex-1,db75dbc0-35d0-11f1-825d-038fcf370b52,76.49556,,,5.78974,,,,,,,b4dd5df4-811f-4ad2-a27b-7f3882273cda,2026-04-11,18:04:17.04,2026-04-11T14:04:17.0464768-04:00,2026-04-11T18:04:17.0464768Z,,v3,643-144953,643-144885,8606,"Shaw, Carson",10071622,Right,GEO_SOU,b6f7f312-9bfd-47a1-bc04-75bfc8d04393,55.62727,-114.71893,9.55928,5.62389,-4.16963,-11.97297,1.64736,-6.68998,3.81545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
