PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-14,18:36:11.54,1,1,"Smith, Tyler",10031618,Right,SAL_JAG,"Artigues, Casey",1000066459,Left,NIC_COL,Undefined,1,Top,0,0,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.97092,-2.307671,-3.739291,2313.458139,233.692202,1:45,6.03438,2.2702,5.47219,-19.54363,14.34969,17.94466,2.24035,0.26122,83.5302,-5.967752,-0.550512,0.419014,81.76837,41.254745,-54.751939,4374.280109,54.20588,70.06169,-95.71687,247.20167,191.20735,-66.164384,4.102737,-10.13209,8.24886,-1.95367,50,5.81796,7.87065,-133.10631,-6.04868,-18.07396,30.09104,-17.45944,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,b8a1a750-385a-11f1-a6aa-75fb2f8ab528,89.95513,73.07309,,8.44071,,,,0.34671,2.08977,-0.25096,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:36:11.54,2026-04-14T18:36:11.5402752-05:00,2026-04-14T23:36:11.5402752Z,FlyBall,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,e133df55-5962-41b4-a082-a5508528e150,55.02838,-134.23825,15.04552,6.03314,-5.3919,-8.72972,-2.26253,8.55054,-9.03698,,0.3459,52.04862,-15.78422,4.17709,-0.76841,0.07312,0.0074,-0.00312,0.00027,2.08969,79.08664,-26.36368,3.46686,-1.00752,0.33807,-0.08992,0.01369,-0.00086,-0.25051,-73.6391,10.03315,-2.4823,0.478,-0.07484,0.00709,4E-05,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,
2,2026-04-14,18:36:27.64,1,2,"Smith, Tyler",10031618,Right,SAL_JAG,"Artigues, Casey",1000066459,Left,NIC_COL,Undefined,1,Top,0,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.05115,-0.617356,-2.109255,1537.304997,241.585147,2:00,5.98732,2.71458,5.3607,-31.43088,9.18934,14.44906,2.78871,1.93973,76.48597,-6.413556,0.45895,0.458715,,,,,,,,,,,,-7.80205,5.22225,-2.5353,50,5.90982,3.85594,-121.84468,-2.41241,-11.65902,25.27512,-24.37018,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,c246ada0-385a-11f1-a6aa-75fb2f8ab528,82.16968,,,7.56518,,,,,,,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:36:27.64,2026-04-14T18:36:27.6449792-05:00,2026-04-14T23:36:27.6449792Z,,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,7c4f4d86-7c28-49f6-a973-73f1f17a1a20,55.13773,-122.90581,12.63756,5.98963,-1.38927,-12.18509,-2.70746,4.34543,-5.82951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
3,2026-04-14,18:36:41.63,1,3,"Smith, Tyler",10031618,Right,SAL_JAG,"Artigues, Casey",1000066459,Left,NIC_COL,Undefined,1,Top,0,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.68187,-0.562324,-2.26683,1604.450199,241.02802,2:00,5.96936,2.46744,5.39527,-30.25218,10.65119,16.75265,2.92091,1.73794,76.16207,-6.155618,0.711953,0.460311,,,,,,,,,,,,-9.01705,5.93583,-2.27692,50,5.89822,4.07994,-121.32368,-2.22618,-13.36657,24.94523,-23.375,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,caa30750-385a-11f1-a6aa-75fb2f8ab528,81.88479,,,7.51981,,,,,,,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:36:41.63,2026-04-14T18:36:41.6303104-05:00,2026-04-14T23:36:41.6303104Z,,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,c38256b0-d8e1-4128-b013-26a5722dcb6d,55.10383,-122.36857,12.47262,5.97096,-1.24706,-11.6875,-2.45954,4.63983,-6.68329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
4,2026-04-14,18:36:59.05,1,4,"Smith, Tyler",10031618,Right,SAL_JAG,"Artigues, Casey",1000066459,Left,NIC_COL,Undefined,1,Top,0,2,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.64214,-0.993249,-3.150522,2304.199288,225.52582,1:30,6.03278,2.66962,5.71681,-20.81615,13.6241,12.70816,3.37132,0.79072,82.42381,-4.903076,-0.88108,0.422381,93.72457,26.032146,-43.403931,2864.807964,74.82802,43.48735,-80.62733,320.88412,294.56853,-51.266483,3.648689,-7.36926,7.55422,-2.41384,50,5.93683,6.67122,-131.40227,-2.97038,-12.82852,28.97413,-19.02356,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,d51548b0-385a-11f1-a6aa-75fb2f8ab528,89.23799,50.77539,,8.21833,,,,-0.16679,3.31633,-0.846,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:36:59.05,2026-04-14T18:36:59.0556160-05:00,2026-04-14T23:36:59.0556160Z,FlyBall,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,16d078e5-976a-4aae-a96e-e3650afe7fef,54.78328,-132.45278,14.48707,6.03203,-2.28065,-9.51178,-2.66414,7.13635,-6.41426,,-0.16105,89.56239,-17.76169,2.81384,1.46973,-1.46314,0.55206,-0.1029,0.00773,3.31587,60.34328,-22.06934,2.30054,-0.49722,0.16819,-0.05186,0.01073,-0.00102,-0.8448,-84.91486,5.11694,-0.28632,0.5244,-0.51271,0.22452,-0.0478,0.00403,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,
5,2026-04-14,18:37:17.50,1,5,"Smith, Tyler",10031618,Right,SAL_JAG,"Artigues, Casey",1000066459,Left,NIC_COL,Undefined,1,Top,0,2,2,Undefined,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.20069,-1.892494,-3.046599,1578.261722,240.19689,2:00,6.01706,2.46564,5.35763,-29.88773,10.86371,16.43249,1.7484,0.97508,76.36622,-7.411354,-0.127596,0.459455,72.2077,-1.221118,21.472897,2419.038477,,,,29.18344,28.08109,18.97113,0.272919,-9.23158,6.45366,-2.20382,50,5.82563,5.79154,-121.89164,-5.0579,-13.72988,26.51768,-22.57569,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,e0139d70-385a-11f1-a6aa-75fb2f8ab528,82.03728,1.84546,,7.83447,,,,1.63911,1.84546,-0.97833,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:37:17.50,2026-04-14T18:37:17.5053312-05:00,2026-04-14T23:37:17.5053312Z,GroundBall,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,2cc673da-3b1a-4fbd-b9b0-11d11ccc5698,55.14281,-123.00538,13.25884,6.01815,-4.10973,-11.28784,-2.45917,6.3682,-6.86494,287.125066,1.64073,98.4528,-12.26699,,,,,,,1.84671,-2.31789,-16.31669,,,,,,,-0.97838,38.76135,-1.51708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,
6,2026-04-14,18:37:54.83,2,1,"Smith, Tyler",10031618,Right,SAL_JAG,"Rijo-Berger, Nico",1000179738,Right,NIC_COL,Undefined,1,Top,1,0,0,Undefined,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.79589,-1.385069,-3.630506,2362.478029,232.981477,1:45,5.95032,2.48597,5.59631,-34.84392,4.9113,4.71146,1.75061,-0.51568,77.23152,-7.787195,-2.791002,0.453804,75.73861,-54.573141,-31.747131,,,,,4.41686,4.41686,-4.116289,0.021943,-3.52016,3.26977,-2.1775,50,5.80862,7.59928,-122.79582,-4.17532,-5.32362,26.48196,-27.22914,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,f6324de0-385a-11f1-a6aa-75fb2f8ab528,83.05882,1.99118,,7.56438,,,,3.20094,1.99118,0.42825,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:37:54.83,2026-04-14T18:37:54.8370432-05:00,2026-04-14T23:37:54.8370432Z,GroundBall,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,82365714-9fa0-48a9-bfa6-522651da9fd9,54.90496,-123.8491,13.24098,5.95314,-3.09232,-13.61457,-2.48396,7.81101,-2.66181,,3.20045,54.894,,,,,,,,1.99198,-90.74398,,,,,,,,0.42856,-33.96564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,
7,2026-04-14,18:38:31.88,3,1,"Smith, Tyler",10031618,Right,SAL_JAG,"Thompson, Caston",10031135,Left,NIC_COL,Undefined,1,Top,2,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.18139,-2.317916,-3.807746,1566.45585,232.591347,1:45,5.94093,2.45158,5.42133,-27.84655,12.85036,14.91465,1.44312,0.12237,76.42239,-7.474886,-1.159154,0.459147,,,,,,,,,,,,-8.64855,7.5926,-2.12368,50,5.71553,7.46697,-121.74383,-5.87,-12.85911,25.98081,-20.885,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,0c50d740-385b-11f1-a6aa-75fb2f8ab528,82.09224,,,7.75899,,,,,,,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:38:31.88,2026-04-14T18:38:31.8817792-05:00,2026-04-14T23:38:31.8817792Z,,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,483752f7-2c67-43fa-bb87-8ebb2905aa3d,55.07796,-122.82271,12.9904,5.94128,-5.00273,-10.4425,-2.44485,8.00095,-6.42955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
8,2026-04-14,18:38:48.82,3,2,"Smith, Tyler",10031618,Right,SAL_JAG,"Thompson, Caston",10031135,Left,NIC_COL,Undefined,1,Top,2,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.93201,-3.051051,-4.759068,2416.265252,234.122957,1:45,5.89648,2.5291,5.34022,-19.59178,14.72335,18.66158,1.38887,-0.39077,83.25026,-6.714065,-1.457345,0.421613,,,,,,,,,,,,-10.72123,8.64497,-2.11249,50,5.60638,10.16024,-132.71246,-7.78121,-18.96827,30.51823,-16.87915,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,166456d0-385b-11f1-a6aa-75fb2f8ab528,89.40047,,,8.68175,,,,,,,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:38:48.82,2026-04-14T18:38:48.8270848-05:00,2026-04-14T23:38:48.8270848Z,,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,65952377-5747-4fef-889f-6940d989c96b,55.15907,-133.89357,15.25911,5.89489,-7.12796,-8.43958,-2.51991,10.89434,-9.48414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
9,2026-04-14,18:39:02.69,3,3,"Smith, Tyler",10031618,Right,SAL_JAG,"Thompson, Caston",10031135,Left,NIC_COL,Undefined,1,Top,2,2,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.47486,-2.497032,-4.823691,1637.695955,228.238728,1:30,5.8836,2.48551,5.49108,-24.99564,15.02784,15.36162,1.45483,-0.75769,77.31929,-7.131545,-2.098929,0.455333,,,,,,,,,,,,-9.03008,8.65552,-2.07261,50,5.64728,9.65363,-122.12827,-6.15968,-13.65724,23.74055,-19.08328,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,1ebe6690-385b-11f1-a6aa-75fb2f8ab528,82.77999,,,7.15556,,,,,,,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:39:02.69,2026-04-14T18:39:02.6950656-05:00,2026-04-14T23:39:02.6950656Z,,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,4e584021-cfb9-474c-9c75-b7f1eb5a0e0e,55.00892,-123.09811,11.87028,5.88299,-5.3801,-9.54164,-2.47838,10.21155,-6.82862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
10,2026-04-14,18:39:17.35,3,4,"Smith, Tyler",10031618,Right,SAL_JAG,"Thompson, Caston",10031135,Left,NIC_COL,Undefined,1,Top,2,2,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.60703,-1.576656,-3.644665,1568.276342,225.915659,1:30,5.96999,2.45837,5.26651,-24.75856,15.37607,14.51792,2.42224,0.23965,77.28444,-6.165587,-1.074811,0.455965,,,,,,,,,,,,-8.25745,8.51819,-2.13554,50,5.80752,7.17256,-122.51435,-4.21273,-12.54848,24.23892,-19.2293,SAL_JAG,NIC_COL,USouthAlabama,D1,SBELT,20260414-USouthAlabama-2,27940ef0-385b-11f1-a6aa-75fb2f8ab528,82.66529,,,7.32258,,,,,,,5ce3a258-79b7-4e0e-9c0b-e502a186cf1f,2026-04-14,23:39:17.35,2026-04-14T18:39:17.3562880-05:00,2026-04-14T23:39:17.3562880Z,,v3,471440,471383,,"Mathews, Duncan",835060,Right,SAL_JAG,3d699c07-b2e4-4bb7-9c17-58020607b29f,55.23348,-123.54544,12.11946,5.96933,-3.39475,-9.61465,-2.452,7.70635,-6.27424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
